register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086003417;Pista Bàsquet;09.05.02 10:29;17.09.22 03:53;365702;Av Mare Déu de Montserrat;78;33;el Baix Guinardó;7;Horta-Guinardó;8024;BARCELONA;4,30373E+16;4,58517E+15;4,1415E+15;2,16687E+16
﻿92086003417;Pista Bàsquet;09.05.02 10:29;17.09.22 03:53;365702;Av Mare Déu de Montserrat;78;33;el Baix Guinardó;7;Horta-Guinardó;8024;BARCELONA;4,30373E+16;4,58517E+15;4,1415E+15;2,16687E+16
﻿92086003417;Pista Bàsquet;09.05.02 10:29;17.09.22 03:53;365702;Av Mare Déu de Montserrat;78;33;el Baix Guinardó;7;Horta-Guinardó;8024;BARCELONA;4,30373E+16;4,58517E+15;4,1415E+15;2,16687E+16
﻿92086003419;Pista Poliesportiva;29.09.87 00:00;17.09.22 03:53;365702;Av Mare Déu de Montserrat;78;33;el Baix Guinardó;7;Horta-Guinardó;8024;BARCELONA;4,30373E+16;4,58517E+15;4,1415E+15;2,16687E+16
﻿92086003419;Pista Poliesportiva;29.09.87 00:00;17.09.22 03:53;365702;Av Mare Déu de Montserrat;78;33;el Baix Guinardó;7;Horta-Guinardó;8024;BARCELONA;4,30373E+16;4,58517E+15;4,1415E+15;2,16687E+16
﻿96331100506;Pistes Petites Poliesportives;26.11.96 00:00;17.09.22 05:26;366705;C Vista Bella;11;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27254E+15;4,58475E+14;4,1411E+15;2,1296E+16
﻿96331100506;Pistes Petites Poliesportives;26.11.96 00:00;17.09.22 05:26;366705;C Vista Bella;11;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27254E+15;4,58475E+14;4,1411E+15;2,1296E+16
﻿96331100506;Pistes Petites Poliesportives;26.11.96 00:00;17.09.22 05:26;366705;C Vista Bella;11;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27254E+15;4,58475E+14;4,1411E+15;2,1296E+16
﻿96331100506;Pistes Petites Poliesportives;26.11.96 00:00;17.09.22 05:26;366705;C Vista Bella;11;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27254E+15;4,58475E+14;4,1411E+15;2,1296E+16
﻿98009125658;Camp de Futbol de l'Energia;09.01.98 00:00;17.09.22 05:36;109906;Energia;25;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,27653E+15;4,579E+15;4,13593E+16;2,13505E+15
﻿98009125658;Camp de Futbol de l'Energia;09.01.98 00:00;17.09.22 05:36;109906;Energia;25;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,27653E+15;4,579E+15;4,13593E+16;2,13505E+15
﻿98009125658;Camp de Futbol de l'Energia;09.01.98 00:00;17.09.22 05:36;109906;Energia;25;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,27653E+15;4,579E+15;4,13593E+16;2,13505E+15
﻿97206133611;Taules de Ping-Pong a la Plaça Josep Maria Folch i Torres;25.07.97 00:00;17.09.22 05:32;170500;Pl Josep M Folch i Torres;1;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30352E+15;4,58088E+15;4,13765E+15;2,16711E+16
﻿97206133611;Taules de Ping-Pong a la Plaça Josep Maria Folch i Torres;25.07.97 00:00;17.09.22 05:32;170500;Pl Josep M Folch i Torres;1;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30352E+15;4,58088E+15;4,13765E+15;2,16711E+16
﻿97206133611;Taules de Ping-Pong a la Plaça Josep Maria Folch i Torres;25.07.97 00:00;17.09.22 05:32;170500;Pl Josep M Folch i Torres;1;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30352E+15;4,58088E+15;4,13765E+15;2,16711E+16
﻿97206133611;Taules de Ping-Pong a la Plaça Josep Maria Folch i Torres;25.07.97 00:00;17.09.22 05:32;170500;Pl Josep M Folch i Torres;1;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30352E+15;4,58088E+15;4,13765E+15;2,16711E+16
﻿92086019457;Sales Poliesportives;24.11.89 00:00;17.09.22 04:29;134200;C Fra Luis de Granada;2;19;les Corts;4;Les Corts;8029;BARCELONA;4,2823E+16;4,58253E+15;4,13911E+16;2,14153E+15
﻿92086019457;Sales Poliesportives;24.11.89 00:00;17.09.22 04:29;134200;C Fra Luis de Granada;2;19;les Corts;4;Les Corts;8029;BARCELONA;4,2823E+16;4,58253E+15;4,13911E+16;2,14153E+15
﻿92086019457;Sales Poliesportives;24.11.89 00:00;17.09.22 04:29;134200;C Fra Luis de Granada;2;19;les Corts;4;Les Corts;8029;BARCELONA;4,2823E+16;4,58253E+15;4,13911E+16;2,14153E+15
﻿92086019457;Sales Poliesportives;24.11.89 00:00;17.09.22 04:29;134200;C Fra Luis de Granada;2;19;les Corts;4;Les Corts;8029;BARCELONA;4,2823E+16;4,58253E+15;4,13911E+16;2,14153E+15
﻿92086028597;Piscina;17.02.92 00:00;17.09.22 04:38;104505;Ptge Domingo;7;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,29962E+16;4,58272E+15;4,13929E+16;2,16223E+16
﻿92086028597;Piscina;17.02.92 00:00;17.09.22 04:38;104505;Ptge Domingo;7;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,29962E+16;4,58272E+15;4,13929E+16;2,16223E+16
﻿92086028597;Piscina;17.02.92 00:00;17.09.22 04:38;104505;Ptge Domingo;7;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,29962E+16;4,58272E+15;4,13929E+16;2,16223E+16
﻿98042190849;Sala Especialitzada;11.02.98 00:00;17.09.22 05:37;246703;Rector Triadó;53;15;Hostafrancs;3;Sants-Montjuïc;8014;BARCELONA;4,28356E+15;4,58106E+15;4,13779E+15;2,14322E+16
﻿98042190849;Sala Especialitzada;11.02.98 00:00;17.09.22 05:37;246703;Rector Triadó;53;15;Hostafrancs;3;Sants-Montjuïc;8014;BARCELONA;4,28356E+15;4,58106E+15;4,13779E+15;2,14322E+16
﻿98044155708;Sala Poliesportiva;13.02.98 00:00;17.09.22 05:37;361406;Viladomat;262;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28788E+16;4,58218E+15;4,1388E+16;2,14825E+14
﻿98044155708;Sala Poliesportiva;13.02.98 00:00;17.09.22 05:37;361406;Viladomat;262;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28788E+16;4,58218E+15;4,1388E+16;2,14825E+14
﻿98044155708;Sala Poliesportiva;13.02.98 00:00;17.09.22 05:37;361406;Viladomat;262;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28788E+16;4,58218E+15;4,1388E+16;2,14825E+14
﻿98044155708;Sala Poliesportiva;13.02.98 00:00;17.09.22 05:37;361406;Viladomat;262;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28788E+16;4,58218E+15;4,1388E+16;2,14825E+14
﻿98044204419;Piscines Descobertes;13.02.98 00:00;17.09.22 05:37;102306;Av Doctor Marañón;17;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25954E+15;4,58146E+15;4,13813E+15;2,11445E+16
﻿98044204419;Piscines Descobertes;13.02.98 00:00;17.09.22 05:37;102306;Av Doctor Marañón;17;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25954E+15;4,58146E+15;4,13813E+15;2,11445E+16
﻿98044204419;Piscines Descobertes;13.02.98 00:00;17.09.22 05:37;102306;Av Doctor Marañón;17;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25954E+15;4,58146E+15;4,13813E+15;2,11445E+16
﻿92086010735;Pistes Municipals de Petanca Sarrià;12.02.85 00:00;17.09.22 04:14;107300;C Eduardo Conde;22;23;Sarrià;5;Sarrià-Sant Gervasi;8034;BARCELONA;4,26532E+15;4,58286E+14;4,13939E+16;2,12119E+16
﻿92086010735;Pistes Municipals de Petanca Sarrià;12.02.85 00:00;17.09.22 04:14;107300;C Eduardo Conde;22;23;Sarrià;5;Sarrià-Sant Gervasi;8034;BARCELONA;4,26532E+15;4,58286E+14;4,13939E+16;2,12119E+16
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿92086022707;Centre Esportiu Municipal Turó de la Peira;25.09.87 00:00;20.10.22 14:19;295403;C Sant Iscle;50;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30838E+15;4,58714E+15;4,14329E+15;2,1722E+15
﻿99165122406;Piscina Coberta;14.06.99 00:00;17.09.22 05:52;89004;Consell de Cent;623;65;el Clot;10;Sant Martí;8026;BARCELONA;4,31989E+16;4,58422E+15;4,14067E+16;2,1863E+16
﻿99165122406;Piscina Coberta;14.06.99 00:00;17.09.22 05:52;89004;Consell de Cent;623;65;el Clot;10;Sant Martí;8026;BARCELONA;4,31989E+16;4,58422E+15;4,14067E+16;2,1863E+16
﻿99165122406;Piscina Coberta;14.06.99 00:00;17.09.22 05:52;89004;Consell de Cent;623;65;el Clot;10;Sant Martí;8026;BARCELONA;4,31989E+16;4,58422E+15;4,14067E+16;2,1863E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086004548;Club Gimnàs Dinamis;23.04.87 00:00;17.09.22 03:57;344101;Trav Gràcia;419;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30789E+13;4,58464E+15;4,14104E+15;2,17189E+16
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086018039;Pavelló Poliesportiu Municipal Virrei Amat - Ramon Aldrufeu;23.01.89 00:00;11.03.22 14:23;171207;C Joan Alcover;6;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8031;BARCELONA;4,30965E+15;4,58675E+15;4,14294E+15;2,17377E+15
﻿92086022567;Piscina Esportiva Transformable;02.10.87 00:00;17.09.22 04:33;224904;Pg J Borbó Comte Barcelona;93;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32105E+15;4,58033E+15;4,13716E+15;2,18813E+16
﻿92086022567;Piscina Esportiva Transformable;02.10.87 00:00;17.09.22 04:33;224904;Pg J Borbó Comte Barcelona;93;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32105E+15;4,58033E+15;4,13716E+15;2,18813E+16
﻿92086022567;Piscina Esportiva Transformable;02.10.87 00:00;17.09.22 04:33;224904;Pg J Borbó Comte Barcelona;93;3;la Barceloneta;1;Ciutat Vella;8039;BARCELONA;4,32105E+15;4,58033E+15;4,13716E+15;2,18813E+16
﻿99400060119;Piscina Coberta;08.09.03 14:03;17.09.22 06:04;248800;C Pedrell;192;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,29689E+16;4,58608E+15;4,14232E+16;2,15858E+16
﻿99400060119;Piscina Coberta;08.09.03 14:03;17.09.22 06:04;248800;C Pedrell;192;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,29689E+16;4,58608E+15;4,14232E+16;2,15858E+16
﻿99400060119;Piscina Coberta;08.09.03 14:03;17.09.22 06:04;248800;C Pedrell;192;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,29689E+16;4,58608E+15;4,14232E+16;2,15858E+16
﻿92086020119;Sala Especialitzada;15.11.89 00:00;17.09.22 04:30;49509;C Bruc;13;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31009E+16;4,58241E+16;4,13903E+16;2,17478E+16
﻿92086020119;Sala Especialitzada;15.11.89 00:00;17.09.22 04:30;49509;C Bruc;13;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31009E+16;4,58241E+16;4,13903E+16;2,17478E+16
﻿92086020119;Sala Especialitzada;15.11.89 00:00;17.09.22 04:30;49509;C Bruc;13;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31009E+16;4,58241E+16;4,13903E+16;2,17478E+16
﻿92086020119;Sala Especialitzada;15.11.89 00:00;17.09.22 04:30;49509;C Bruc;13;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31009E+16;4,58241E+16;4,13903E+16;2,17478E+16
﻿92086020176;Sala Poliesportiva;16.11.89 00:00;17.09.22 04:30;110803;C Entença;100;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,28924E+15;4,58132E+15;4,13803E+15;2,14998E+16
﻿92086020176;Sala Poliesportiva;16.11.89 00:00;17.09.22 04:30;110803;C Entença;100;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;BARCELONA;4,28924E+15;4,58132E+15;4,13803E+15;2,14998E+16
