play_area_id;address;district_name;district_code;neighbourhood_name;neighbourhood_code;X_ETRS89;Y_ETRS89;longitude;latitude
660979;Pl Roja de la Ciutat Meridiana, 0;Nou Barris;8;Ciutat Meridiana;55;431426517;4590290237;21788869;414612738
660975;Pl Roja de la Ciutat Meridiana, 0;Nou Barris;8;Ciutat Meridiana;55;431450938;4590310279;21791770;414614564
85755;Pl Sóller, 1;Nou Barris;8;Porta;45;431155494;4587315663;21759810;414344598
85754;Pl Sóller, 1;Nou Barris;8;Porta;45;431164467;4587273810;21760931;414340836
85727;Pl Torre Llobeta, 0;Nou Barris;8;Vilapicina i la Torre Llobeta;44;430989106;4586423099;21740915;414264065
672825;Pl Àngel Pestaña, 1;Nou Barris;8;la Prosperitat;52;431510525;4588105664;21801405;414416054
85684;Pl Àngel Pestaña, 1;Nou Barris;8;la Prosperitat;52;431525561;4588139497;21803166;414419114
925871;Via Favència, 48;Nou Barris;8;la Guineueta;48;430261139;4587927330;21652067;414398916
653813;Via Favència, 48;Nou Barris;8;la Guineueta;48;430377554;4588049578;21665860;414410028
38600;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428793845;4581138009;21484435;413786142
38598;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428771979;4581146514;21481810;413786888
38601;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428827187;4581082209;21488488;413781145
38599;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428790318;4581164581;21483982;413788532
38597;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428761665;4581152533;21480570;413787421
38596;Parc Joan Miró, 860;Eixample;2;la Nova Esquerra de l'Eixample;9;428761144;4581183875;21480471;413790244
931536;Parc La Pegaso, 0;Sant Andreu;9;la Sagrera;61;432227292;4586545803;21888947;414276171
138526;Parc La Pegaso, 0;Sant Andreu;9;la Sagrera;61;432209884;4586550770;21886858;414276603
138524;Parc La Pegaso, 0;Sant Andreu;9;la Sagrera;61;432184428;4586563626;21883797;414277740
138523;Parc La Pegaso, 0;Sant Andreu;9;la Sagrera;61;432129700;4586547214;21877267;414276215
138525;Parc La Pegaso, 0;Sant Andreu;9;la Sagrera;61;432191754;4586570995;21884666;414278410
161220;Jard Clot de la Mel, 0;Sant Martí;10;el Clot;65;432725628;4584831188;21950489;414122159
161219;Jard Clot de la Mel, 0;Sant Martí;10;el Clot;65;432702636;4584843332;21947725;414123234
161221;Jard Clot de la Mel, 0;Sant Martí;10;el Clot;65;432749969;4584801628;21953434;414119517
32676;Av Mistral, 68;Eixample;2;Sant Antoni;10;429177509;4580807983;21530698;413756756
32679;Av Mistral, 68;Eixample;2;Sant Antoni;10;429447209;4580894345;21562847;413764771
32678;Av Mistral, 68;Eixample;2;Sant Antoni;10;429270184;4580826596;21541758;413758514
32677;Av Mistral, 68;Eixample;2;Sant Antoni;10;429309267;4580844446;21546410;413760156
171659;Pg Valldaura, 207;Nou Barris;8;la Prosperitat;52;431331922;4587829692;21780341;414391045
30171;Jard Safo, 0;Eixample;2;la Nova Esquerra de l'Eixample;9;428591102;4581363361;21459926;413806259
29968;Jard Tete Montoliu, 0;Eixample;2;Sant Antoni;10;429562105;4581161164;21576275;413788903
29967;Jard Tete Montoliu, 0;Eixample;2;Sant Antoni;10;429547483;4581144333;21574546;413787375
29884;Jard Càndida Pérez, 0;Eixample;2;Sant Antoni;10;430028789;4581043818;21632216;413778741
660680;Jard Maria Matilde Almendros, 0;Eixample;2;Sant Antoni;10;429457573;4581214229;21563713;413793591
28866;Av Mistral, 10;Eixample;2;Sant Antoni;10;429671020;4580987292;21589501;413773338
61747;Pl Cosmos, 9;Horta-Guinardó;7;el Carmel;37;429193663;4586352979;21526145;414256187
61746;Pl Cosmos, 9;Horta-Guinardó;7;el Carmel;37;429174696;4586354671;21523873;414256323
61622;Pl Guinardó, 8;Horta-Guinardó;7;el Guinardó;35;431073501;4585881988;21751631;414215401
61444;C\ Santuari, 71;Horta-Guinardó;7;el Carmel;37;429248207;4585867361;21533240;414212497
61459;Pl Carles Cardó i Sanjoan, 0;Horta-Guinardó;7;el Guinardó;35;431360565;4585843238;21786024;414212157
61221;Jard Montbau, 0;Horta-Guinardó;7;Montbau;40;428446405;4587115845;21435822;414324233
659893;C\ Conca de Tremp, 4;Horta-Guinardó;7;el Carmel;37;429359801;4586203733;21546200;414242891
203690;Rbla Prim, 59;Sant Martí;10;el Besòs i el Maresme;70;434313266;4585103628;22140140;414148011
204359;Rbla Prim, 71;Sant Martí;10;el Besòs i el Maresme;70;434279949;4585135843;22136119;414150885
97742;Jard Manuel Sacristán, 0;Sant Martí;10;Diagonal Mar i el Front Marítim del Poblenou;69;434196545;4583858802;22127529;414035797
97269;Jard Josep Maria Sostres, 0;Sant Martí;10;Diagonal Mar i el Front Marítim del Poblenou;69;434266630;4583972137;22135790;414046062
96812;Jard Carles Barral, 0;Sant Martí;10;Diagonal Mar i el Front Marítim del Poblenou;69;434101918;4583777554;22116297;414028402
206909;Jard Beatriu de Provença, 0;Eixample;2;la Sagrada Família;6;430801789;4583676338;21721641;414016513
206920;Jard Beatriu de Pinós-Milany, 0;Eixample;2;l'Antiga Esquerra de l'Eixample;8;429002145;4582292083;21507991;413890269
847011;C\ Alfons el Magnànim, 27;Sant Martí;10;el Besòs i el Maresme;70;434465593;4585156857;22158308;414152929
43661;C\ Alfons el Magnànim, 27;Sant Martí;10;el Besòs i el Maresme;70;434351397;4585268238;22144524;414162868
43662;C\ Alfons el Magnànim, 27;Sant Martí;10;el Besòs i el Maresme;70;434392141;4585225289;22149445;414159033
661371;Jard Irene Polo, 0;Sant Martí;10;Provençals del Poblenou;71;432611947;4584160379;21937636;414061646
44242;C\ Vicenç Montal, 2;Sant Andreu;9;la Trinitat Vella;57;432635685;4589415633;21934619;414534990
44660;Pg Maragall, 9999;Sant Andreu;9;Navas;63;431549520;4585471034;21809055;414178795
660966;Jard Juan Ponce, 0;Horta-Guinardó;7;el Carmel;37;429497391;4585534115;21563445;414182702
660967;Jard Juan Ponce, 0;Horta-Guinardó;7;el Carmel;37;429518782;4585530575;21566008;414182402
660968;Jard Juan Ponce, 0;Horta-Guinardó;7;el Carmel;37;429488347;4585521922;21562377;414181596
47545;Pl Ildefons Cerdà, 72270;Sants-Montjuïc;3;la Marina de Port;13;427660197;4579420492;21350926;413630440
47546;Pl Ildefons Cerdà, 72270;Sants-Montjuïc;3;la Marina de Port;13;427733227;4579485503;21359579;413636361
254061;C\ Joaquim Valls, 11;Nou Barris;8;la Prosperitat;52;431818374;4588218461;21838125;414426475
254060;C\ Joaquim Valls, 11;Nou Barris;8;la Prosperitat;52;431809642;4588197476;21837104;414424577
254080;Pl Jesús Carrasco, 0;Nou Barris;8;Verdun;51;431221827;4588473334;21766431;414448921
54577;Pl Revolució Setembre 1868, 18;Gracia;6;la Vila de Gràcia;31;429625598;4583793705;21580809;414026063
86671;Ctra C-17 (Barcelona), 5;Nou Barris;8;Torre Baró;54;431964038;4589841649;21853732;414572793
86557;C\ Peñalara, 24;Nou Barris;8;el Turó de la Peira;46;430772821;4586923007;21714461;414308904
89130;C\ Virgili, 1;Sant Andreu;9;Sant Andreu;60;432595654;4586761079;21932788;414295870
51392;C\ Doctor Farreras i Valentí, 15;Sarria-Sant Gervasi;5;Sarrià;23;426344266;4583214708;21188997;413970976
86432;Via Favència, 388;Nou Barris;8;la Prosperitat;52;431677018;4588570356;21820807;414458049
50304;Pg Sant Joan Bosco, 1;Sarria-Sant Gervasi;5;Sarrià;23;427108373;4582807435;21280883;413934991
86252;Av Rasos de Peguera, 49;Nou Barris;8;Ciutat Meridiana;55;431207106;4590114404;21762799;414596713
86319;C\ Rosario Pi, 10;Nou Barris;8;el Turó de la Peira;46;430819463;4586989275;21719967;414314912
49748;Jard Enric Sagnier, 0;Sarria-Sant Gervasi;5;Sant Gervasi - Galvany;26;428472248;4583730136;21442918;414019319
49798;Ctra Vallvidrera a les Planes, 3;Sarria-Sant Gervasi;5;Vallvidrera, el Tibidabo i les Planes;22;424603135;4585659306;20977694;414189534
49568;Pl Pep Ventura, 9999;Sarria-Sant Gervasi;5;Vallvidrera, el Tibidabo i les Planes;22;425232577;4585137158;21053653;414143095
49662;Rier Monges, 0;Sarria-Sant Gervasi;5;Sarrià;23;426173823;4583857040;21167827;414028671
49446;E.M. Tibidabo, 51062;Sarria-Sant Gervasi;5;Sant Gervasi - la Bonanova;25;427862512;4584620890;21368920;414099001
49126;Jard Josep Goday i Casals, 0;Les Corts;4;la Maternitat i Sant Ramon;20;426893324;4581154269;21257157;413785902
49127;Jard Josep Goday i Casals, 0;Les Corts;4;la Maternitat i Sant Ramon;20;426926372;4581133876;21261133;413784095
47768;C\ Font Florida, 102;Sants-Montjuïc;3;la Font de la Guatlla;14;428163774;4579895417;21410565;413673666
47767;C\ Font Florida, 102;Sants-Montjuïc;3;la Font de la Guatlla;14;428134149;4579837434;21407092;413668417
906467;Av Rasos de Peguera, 48;Nou Barris;8;Ciutat Meridiana;55;431323803;4590279231;21776583;414611659
46942;Parc Can Sabater, 0;Sants-Montjuïc;3;la Marina de Port;13;427884217;4579500033;21377612;413637805
46943;Parc Can Sabater, 0;Sants-Montjuïc;3;la Marina de Port;13;427891052;4579469606;21378466;413635071
46945;Parc Can Sabater, 0;Sants-Montjuïc;3;la Marina de Port;13;427914691;4579388151;21381389;413627755
46944;Parc Can Sabater, 0;Sants-Montjuïc;3;la Marina de Port;13;427907841;4579416198;21380536;413630275
86097;C\ Pedraforca, 42;Nou Barris;8;Ciutat Meridiana;55;431140066;4590441766;21754399;414626140
46582;C\ Roger de Flor, 146;Eixample;2;la Dreta de l'Eixample;7;431055818;4583198569;21752573;413973700
693667;Pl Assemblea de Catalunya, 1690;Sant Andreu;9;la Sagrera;61;432152274;4586238361;21880315;414248417
693666;Pl Assemblea de Catalunya, 1690;Sant Andreu;9;la Sagrera;61;432153975;4586226884;21880531;414247385
61504;C\ Arquitectura, 9;Horta-Guinardó;7;Montbau;40;428221340;4586743109;21409330;414290461
86610;Pl Aqüeducte, 0;Nou Barris;8;Ciutat Meridiana;55;431259839;4590173660;21769045;414602096
162643;Rbla Prim, 22;Sant Martí;10;el Besòs i el Maresme;70;434464445;4585017514;22158321;414140378
162642;Rbla Prim, 22;Sant Martí;10;el Besòs i el Maresme;70;434544548;4584912837;22168019;414131015
