register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;addresses_main_address;addresses_type;values_id;values_attribute_id;values_category;values_attribute_name;values_outstanding;secondary_filters_id;secondary_filters_name;secondary_filters_fullpath;secondary_filters_tree;secondary_filters_asia_id;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400161240;Punt Verd de Barri - Folch i Torres;31.05.06 12:07;14.11.22 11:05;170500;Pl Josep M Folch i Torres;1;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;WAHR;;216032;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,30353E+15;4,58093E+14;4,13769E+14;2,16712E+15
﻿99400028442;Punt Verd de Barri - Vallvidrera;29.11.02 10:14;14.11.22 11:29;280803;Carrer d'Elisa Moragas i Badia;40;;22;Vallvidrera, el Tibidabo i les Planes;5;Sarrià-Sant Gervasi;8017;Barcelona;WAHR;;205978;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,24936E+15;4,58533E+15;4,14161E+15;2,10179E+16
﻿99400038444;Punt Verd de Barri - Poble-sec;29.04.03 10:07;14.11.22 11:11;241404;C Palaudàries;12;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;WAHR;;207738;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,30831E+15;4,58064E+15;4,13743E+15;2,17286E+16
﻿99400581924;Punt Verd de Barri - Av. Vallcarca;03.04.18 14:08;14.11.22 11:00;158107;Av Vallcarca;71;;28;Vallcarca i els Penitents;6;Gràcia;8023;BARCELONA;WAHR;;;;;;;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,28697E+15;4,58466E+15;4,14103E+15;2,14687E+15
﻿99400262792;Punt Verd de Barri - Les Corts;11.01.11 12:08;14.11.22 11:08;227800;C Nicaragua;101;;19;les Corts;4;Les Corts;8029;BARCELONA;WAHR;;223370;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,27948E+15;4,58192E+15;4,13855E+15;2,13824E+14
﻿99400234967;Punt Verd de Barri - Turó de la Peira;29.10.09 14:26;14.11.22 11:21;250802;Pg Peira;1;;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;WAHR;;222680;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,30586E+15;4,58693E+15;4,14309E+15;2,16921E+16
﻿99400046207;Punt Verd de Barri - Gal·la Placídia;18.06.03 09:36;14.11.22 11:06;138405;Pl Gal.la Placídia;12;;31;la Vila de Gràcia;6;Gràcia;8006;BARCELONA;WAHR;;207290;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,29222E+16;4,58338E+15;4,13988E+14;2,1533E+14
﻿99400035494;Punt Verd de Barri - Sagrada Família;11.03.03 14:06;14.11.22 11:12;178308;C Lepant;281;;6;la Sagrada Família;2;Eixample;8013;BARCELONA;WAHR;;;;;;;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,31105E+14;4,58405E+15;4,1405E+15;2,17575E+15
﻿99400274262;Punt Verd de Barri - La Bordeta;11.07.11 00:00;14.11.22 11:07;91709;C Corral;2;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;WAHR;;224714;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,28201E+16;4,58031E+15;4,13711E+15;2,14146E+15
﻿99400035497;Punt Verd de Barri - Sant Andreu;11.03.03 14:23;14.11.22 11:15;290159;C Rovira i Virgili;14;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;WAHR;;206355;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,32188E+15;4,58665E+15;4,14285E+15;2,18841E+15
﻿99400038990;Punt Verd de Barri - Horta-Guinardó;07.05.03 10:10;14.11.22 11:07;192604;C Mas Casanovas;74;;35;el Guinardó;7;Horta-Guinardó;8041;BARCELONA;WAHR;;207822;100050;Telèfons;No tenen telèfon;WAHR;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,30859E+16;4,58512E+15;4,14147E+15;2,17268E+15
﻿99400076499;Punt Verd de Barri  - Mercat de Sant Antoni;11.03.04 17:21;14.11.22 10:58;329902;C Tamarit;169;;10;Sant Antoni;2;Eixample;8015;BARCELONA;WAHR;;;;;;;65731069;Punts verds de barri;Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri;651;6,5103E+13;4,2987E+16;4,58118E+15;4,13791E+15;2,16131E+16
