neighbourhood_code,label_accidents_x,label_avg_occ_x,label_above_65_x,label_academic_level_x,label_between_18_65_x,label_bus_stops_x,label_children_play_areas_x,label_cinema_theatre_concerts_x,label_cultural_leisure_spaces_x,label_library_studyroom_x,label_sport_facilities_x,label_tourists_points_x,label_transportation_x,label_street_markets_and_fairs_x,label_rent_price_x,label_hotels_x,label_spaces_for_excercise_x,label_parks_gardens_x,label_exhebitons_museums_x,label_music_drinks_x,label_temporary_exhibitions_x,similarity,district_code,district_name,Neighbourhood,accidents,label_accidents_y,average_occupation_per_household,label_avg_occ_y,above_65t,label_above_65_y,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level_y,between_18_64,label_between_18_65_y,bus_stops,label_bus_stops_y,children_play_areas,label_children_play_areas_y,cinema_theater_concerts,label_cinema_theatre_concerts_y,culture_leisure_spaces,label_cultural_leisure_spaces_y,library_studyroom_museum_spaces,label_library_studyroom_y,sport_facilities,label_sport_facilities_y,tourists_points,label_tourists_points_y,transportation,label_transportation_y,street_markets_and_fairs,label_street_markets_and_fairs_y,rent_price,label_rent_price_y,hotels,label_hotels_y,spaces_for_exercising,label_spaces_for_excercise_y,parks_gardens,label_parks_gardens_y,number_of_museums_and_exhibitions,label_exhebitons_museums_y,music_drinks,label_music_drinks_y,temporaray_exhibitions,label_temporary_exhibitions_y,label_accidents_cat,label_avg_occ_cat,label_above_65_cat,label_academic_level_cat,label_between_18_65_cat,label_bus_stops_cat,label_children_play_areas_cat,label_cinema_theatre_concerts_cat,label_cultural_leisure_spaces_cat,label_library_studyroom_cat,label_sport_facilities_cat,label_tourists_points_cat,label_transportation_cat,label_street_markets_and_fairs_cat,label_rent_price_cat,label_hotels_cat,label_spaces_for_excercise_cat,label_parks_gardens_cat,label_exhebitons_museums_cat,label_music_drinks_cat,label_temporary_exhibitions_cat
68,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.9163419338230351,10,Sant Martí,el Poblenou,1262.0,5.0,25.0,3.0,13836.0,3.0,5816.0,375.0,3644.0,11204.0,7352.0,1.0,13836.0,2.0,64.0,2.0,15.0,3.0,4.0,2.0,47.0,1.0,5.0,1.0,71.0,1.0,27.0,2.0,4.0,1.0,1.0,1.0,1085.6,3.0,6.0,1.0,2.0,2.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,common,moderately_populated,medium_high,high,high,high,many,some,medium,few,medium,some,few,few,expensive,few,some,few,none,few,none
5,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9163242579854548,2,Eixample,el Fort Pienc,1271.0,5.0,26.0,4.0,12880.0,3.0,5565.0,284.0,3264.0,12441.0,7848.0,1.0,12880.0,1.0,40.0,1.0,15.0,3.0,7.0,2.0,60.0,1.0,10.0,2.0,64.0,1.0,21.0,2.0,13.0,2.0,2.0,1.0,1106.9,3.0,9.0,1.0,0.0,0.0,16.0,2.0,3.0,1.0,9.0,1.0,4.0,1.0,common,densely_populated,medium_high,high,medium,medium,many,some,medium,some,medium,some,some,few,expensive,few,none,some,few,few,few
25,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8908708063747477,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,1149.0,4.0,27.0,4.0,9443.0,3.0,2601.0,91.0,1070.0,11336.0,5995.0,1.0,9443.0,1.0,85.0,2.0,12.0,2.0,3.0,1.0,40.0,1.0,7.0,2.0,86.0,1.0,105.0,4.0,2.0,1.0,2.0,1.0,1369.1,4.0,8.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,8.0,1.0,2.0,1.0,frequent,densely_populated,medium_high,high,medium,high,medium,few,medium,some,medium,several,few,few,very_expensive,few,few,few,few,few,few
23,4.0,5.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.8902291483140375,5,Sarrià-Sant Gervasi,Sarrià,1188.0,4.0,28.0,5.0,8808.0,3.0,2535.0,125.0,1281.0,10698.0,5154.0,0.0,8808.0,1.0,79.0,2.0,24.0,4.0,1.0,1.0,49.0,1.0,8.0,2.0,148.0,2.0,88.0,4.0,5.0,1.0,4.0,2.0,1349.3,4.0,5.0,1.0,1.0,1.0,12.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,frequent,crowded,medium_high,low,medium,high,several,few,medium,some,high,several,few,some,very_expensive,few,few,some,none,few,none
19,5.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.8810677178572227,4,Les Corts,les Corts,1275.0,5.0,24.0,2.0,18952.0,4.0,6293.0,357.0,3662.0,18195.0,10842.0,1.0,18952.0,2.0,72.0,2.0,23.0,4.0,1.0,1.0,56.0,1.0,4.0,1.0,117.0,2.0,64.0,3.0,7.0,1.0,3.0,2.0,1067.8,3.0,9.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,common,lightly_populated,high,high,high,high,several,few,medium,few,high,many,few,some,expensive,few,none,some,none,few,none
