neighbourhood_code,label_accidents_x,label_avg_occ_x,label_above_65_x,label_academic_level_x,label_between_18_65_x,label_bus_stops_x,label_children_play_areas_x,label_cinema_theatre_concerts_x,label_cultural_leisure_spaces_x,label_library_studyroom_x,label_sport_facilities_x,label_tourists_points_x,label_transportation_x,label_street_markets_and_fairs_x,label_rent_price_x,label_hotels_x,label_spaces_for_excercise_x,label_parks_gardens_x,label_exhebitons_museums_x,label_music_drinks_x,label_temporary_exhibitions_x,similarity,district_code,district_name,Neighbourhood,accidents,label_accidents_y,average_occupation_per_household,label_avg_occ_y,above_65t,label_above_65_y,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level_y,between_18_64,label_between_18_65_y,bus_stops,label_bus_stops_y,children_play_areas,label_children_play_areas_y,cinema_theater_concerts,label_cinema_theatre_concerts_y,culture_leisure_spaces,label_cultural_leisure_spaces_y,library_studyroom_museum_spaces,label_library_studyroom_y,sport_facilities,label_sport_facilities_y,tourists_points,label_tourists_points_y,transportation,label_transportation_y,street_markets_and_fairs,label_street_markets_and_fairs_y,rent_price,label_rent_price_y,hotels,label_hotels_y,spaces_for_exercising,label_spaces_for_excercise_y,parks_gardens,label_parks_gardens_y,number_of_museums_and_exhibitions,label_exhebitons_museums_y,music_drinks,label_music_drinks_y,temporaray_exhibitions,label_temporary_exhibitions_y,label_accidents_cat,label_avg_occ_cat,label_above_65_cat,label_academic_level_cat,label_between_18_65_cat,label_bus_stops_cat,label_children_play_areas_cat,label_cinema_theatre_concerts_cat,label_cultural_leisure_spaces_cat,label_library_studyroom_cat,label_sport_facilities_cat,label_tourists_points_cat,label_transportation_cat,label_street_markets_and_fairs_cat,label_rent_price_cat,label_hotels_cat,label_spaces_for_excercise_cat,label_parks_gardens_cat,label_exhebitons_museums_cat,label_music_drinks_cat,label_temporary_exhibitions_cat
2,5.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,0.8261499574378098,1,Ciutat Vella,el Barri Gòtic,1298.0,5.0,35.0,7.0,6572.0,2.0,5237.0,192.0,4373.0,6652.0,4526.0,0.0,6572.0,0.0,39.0,1.0,7.0,1.0,5.0,2.0,108.0,2.0,34.0,4.0,51.0,1.0,103.0,4.0,5.0,1.0,7.0,3.0,1062.5,3.0,52.0,2.0,0.0,0.0,2.0,1.0,15.0,2.0,52.0,3.0,6.0,1.0,common,extremely_crowded,medium,low,low,medium,few,some,high,a_lot,medium,several,few,many,expensive,some,none,few,some,many,few
1,6.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.8124099666811831,1,Ciutat Vella,el Raval,1438.0,6.0,27.0,4.0,17192.0,4.0,10420.0,471.0,9668.0,11020.0,8054.0,1.0,17192.0,2.0,43.0,1.0,11.0,2.0,26.0,4.0,156.0,2.0,33.0,4.0,71.0,1.0,110.0,4.0,15.0,2.0,2.0,1.0,872.0,2.0,63.0,2.0,1.0,1.0,9.0,2.0,23.0,2.0,63.0,3.0,58.0,3.0,very_common,densely_populated,high,high,high,medium,medium,a_lot,high,a_lot,medium,several,some,few,medium,some,few,some,some,many,many
11,6.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.8109899547102153,3,Sants-Montjuïc,el Poble-sec,1440.0,6.0,25.0,3.0,15953.0,4.0,8214.0,525.0,6517.0,10731.0,8223.0,1.0,15953.0,2.0,131.0,3.0,17.0,3.0,21.0,3.0,120.0,2.0,27.0,3.0,187.0,3.0,153.0,4.0,14.0,2.0,0.0,0.0,879.3,2.0,22.0,2.0,1.0,1.0,31.0,3.0,27.0,2.0,22.0,2.0,28.0,2.0,very_common,moderately_populated,high,high,high,very_high,many,many,high,many,very_high,several,some,none,medium,some,few,many,some,some,some
43,4.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.7979583877950539,7,Horta-Guinardó,Horta,1218.0,4.0,26.0,4.0,10693.0,3.0,6055.0,630.0,4470.0,6086.0,6688.0,0.0,10693.0,1.0,73.0,2.0,15.0,3.0,3.0,1.0,35.0,0.0,8.0,2.0,62.0,1.0,27.0,2.0,6.0,1.0,1.0,1.0,794.2,1.0,4.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,frequent,densely_populated,medium_high,low,medium,high,many,few,low,some,medium,some,few,few,affordable,few,some,few,none,few,none
20,4.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7978723404255317,4,Les Corts,la Maternitat i Sant Ramon,1176.0,4.0,25.0,3.0,9658.0,3.0,3651.0,313.0,2408.0,8485.0,5564.0,0.0,9658.0,1.0,64.0,2.0,8.0,1.0,4.0,2.0,71.0,1.0,25.0,3.0,262.0,3.0,68.0,3.0,17.0,2.0,0.0,0.0,993.1,3.0,7.0,1.0,1.0,1.0,16.0,2.0,5.0,1.0,7.0,1.0,4.0,1.0,frequent,moderately_populated,medium_high,low,medium,high,few,some,medium,many,very_high,many,some,none,expensive,few,few,some,few,few,few
