district_code,district_name,neighbourhood_code,neighbourhood_name,top_5_nationalities,mapped_nationalities
7,Horta-Guinardó,41,la Vall d'Hebron,"Veneçuela, Itàlia, Hondures, Perú, Romania","[42, 11, 10, 15, 19]"
7,Horta-Guinardó,42,la Clota,"Bangladesh, Itàlia, Pakistan, Argentina, Marroc, el","[27, 11, 13, 1, 12, 24]"
7,Horta-Guinardó,43,Horta,"Pakistan, Hondures, Colòmbia, Marroc, el, Perú","[34, 10, 4, 12, 24, 15]"
8,Nou Barris,44,Vilapicina i la Torre Llobeta,"Hondures, Colòmbia, Itàlia, Perú, Xina","[31, 4, 11, 15, 23]"
8,Nou Barris,45,Porta,"Marroc, el, Pakistan, Hondures, Perú, Colòmbia","[33, 24, 13, 10, 15, 4]"
8,Nou Barris,46,el Turó de la Peira,"Pakistan, Colòmbia, Hondures, República Dominicana, Bolívia","[34, 4, 10, 17, 3]"
8,Nou Barris,47,Can Peguera,"Marroc, el, República Dominicana, Veneçuela, Colòmbia, Hondures","[33, 24, 17, 22, 4, 10]"
8,Nou Barris,48,la Guineueta,"Xina, Hondures, Perú, Colòmbia, Itàlia","[43, 10, 15, 4, 11]"
8,Nou Barris,49,Canyelles,"Veneçuela, Hondures, Perú, Resta països, Itàlia","[42, 10, 15, 18, 11]"
8,Nou Barris,50,les Roquetes,"Marroc, el, Equador, Hondures, Perú, Pakistan","[33, 24, 5, 10, 15, 13]"
8,Nou Barris,51,Verdun,"Pakistan, Colòmbia, Xina, Perú, Hondures","[34, 4, 23, 15, 10]"
8,Nou Barris,52,la Prosperitat,"Pakistan, Perú, Hondures, Xina, Colòmbia","[34, 15, 10, 23, 4]"
8,Nou Barris,53,la Trinitat Nova,"Armènia, Marroc, el, Hondures, Pakistan, Resta països","[26, 12, 24, 10, 13, 18]"
8,Nou Barris,54,Torre Baró,"Resta països, Hondures, Marroc, el, Bolívia, Itàlia","[39, 10, 12, 24, 3, 11]"
8,Nou Barris,55,Ciutat Meridiana,"República Dominicana, Resta països, Pakistan, Hondures, Marroc, el","[38, 18, 13, 10, 12, 24]"
8,Nou Barris,56,Vallbona,"Paraguai, Hondures, Rússia, Pakistan, Marroc, el","[35, 10, 20, 13, 12, 24]"
9,Sant Andreu,57,la Trinitat Vella,"Pakistan, Hondures, Perú, Romania, Marroc, el","[34, 10, 15, 19, 12, 24]"
9,Sant Andreu,58,Baró de Viver,"Hondures, Marroc, el, Xina, Pakistan, Colòmbia","[31, 12, 24, 23, 13, 4]"
9,Sant Andreu,59,el Bon Pastor,"Colòmbia, Hondures, Pakistan, Perú, Marroc, el","[28, 10, 13, 15, 12, 24]"
9,Sant Andreu,60,Sant Andreu,"Resta països, Hondures, Colòmbia, Xina, Itàlia","[39, 10, 4, 23, 11]"
9,Sant Andreu,61,la Sagrera,"Hondures, Perú, Colòmbia, Itàlia, Xina","[31, 15, 4, 11, 23]"
9,Sant Andreu,62,el Congrés i els Indians,"Colòmbia, Perú, Xina, Hondures, Itàlia","[28, 15, 23, 10, 11]"
9,Sant Andreu,63,Navas,"Itàlia, Colòmbia, Veneçuela, Xina, Perú","[32, 4, 22, 23, 15]"
10,Sant Martí,64,el Camp de l'Arpa del Clot,"Perú, França, Itàlia, Colòmbia, Xina","[36, 8, 11, 4, 23]"
10,Sant Martí,65,el Clot,"Xina, Perú, Marroc, el, Itàlia, Resta països","[43, 15, 12, 24, 11, 18]"
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"França, Xina, Regne Unit, Resta països, Itàlia","[30, 23, 16, 18, 11]"
10,Sant Martí,67,la Vila Olímpica del Poblenou,"Itàlia, França, Rússia, Alemanya, Resta països","[32, 8, 20, 0, 18]"
10,Sant Martí,68,el Poblenou,"Itàlia, França, Resta països, Xina, Regne Unit","[32, 8, 18, 23, 16]"
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,"Rússia, Xina, Resta països, Itàlia, França","[41, 23, 18, 11, 8]"
10,Sant Martí,70,el Besòs i el Maresme,"Pakistan, Marroc, el, Hondures, Xina, Senegal","[34, 12, 24, 10, 23, 21]"
10,Sant Martí,71,Provençals del Poblenou,"Veneçuela, Itàlia, Marroc, el, Xina, Pakistan","[42, 11, 12, 24, 23, 13]"
10,Sant Martí,72,Sant Martí de Provençals,"Perú, Xina, Veneçuela, Itàlia, Colòmbia","[36, 23, 22, 11, 4]"
10,Sant Martí,73,la Verneda i la Pau,"Resta països, Xina, Colòmbia, Itàlia, Perú","[39, 23, 4, 11, 15]"
