year;district_code;district_name;neighborhood_code;neighborhood_code2;Sex;academic_level;number
2022;8;Nou Barris;56;Vallbona;Women;Elementary / high school / FPI bachelor's degree;194
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Elementary / high school / FPI bachelor's degree;1297
2022;9;Sant Andreu;58;Baró de Viver;Women;Elementary / high school / FPI bachelor's degree;385
2022;9;Sant Andreu;59;el Bon Pastor;Women;Elementary / high school / FPI bachelor's degree;1722
2022;9;Sant Andreu;60;Sant Andreu;Women;Elementary / high school / FPI bachelor's degree;6284
2022;9;Sant Andreu;61;la Sagrera;Women;Elementary / high school / FPI bachelor's degree;3425
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Elementary / high school / FPI bachelor's degree;1522
2022;9;Sant Andreu;63;Navas;Women;Elementary / high school / FPI bachelor's degree;2464
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Elementary / high school / FPI bachelor's degree;3924
2022;10;Sant Martí;65;el Clot;Women;Elementary / high school / FPI bachelor's degree;2786
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Elementary / high school / FPI bachelor's degree;1355
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Elementary / high school / FPI bachelor's degree;509
2022;10;Sant Martí;68;el Poblenou;Women;Elementary / high school / FPI bachelor's degree;2798
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Elementary / high school / FPI bachelor's degree;977
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Elementary / high school / FPI bachelor's degree;3235
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Elementary / high school / FPI bachelor's degree;2300
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Elementary / high school / FPI bachelor's degree;3158
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Elementary / high school / FPI bachelor's degree;3863
2022;1;Ciutat Vella;1;el Raval;Women;Upper secondary school ;3788
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Upper secondary school ;1898
2022;1;Ciutat Vella;3;la Barceloneta;Women;Upper secondary school ;1469
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Upper secondary school ;2137
2022;2;Eixample;5;el Fort Pienc;Women;Upper secondary school ;3821
2022;2;Eixample;6;la Sagrada Família;Women;Upper secondary school ;6098
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Upper secondary school ;4934
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Upper secondary school ;4940
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Upper secondary school ;6712
2022;2;Eixample;10;Sant Antoni;Women;Upper secondary school ;4232
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Upper secondary school ;3898
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Upper secondary school ;98
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Upper secondary school ;3216
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Upper secondary school ;1154
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Upper secondary school ;1715
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Upper secondary school ;2153
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Upper secondary school ;2717
2022;3;Sants-Montjuïc;18;Sants;Women;Upper secondary school ;4703
2022;4;Les Corts;19;les Corts;Women;Upper secondary school ;5564
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Upper secondary school ;2838
2022;4;Les Corts;21;Pedralbes;Women;Upper secondary school ;1466
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Upper secondary school ;541
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Upper secondary school ;2746
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Upper secondary school ;1992
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Upper secondary school ;3336
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Upper secondary school ;6451
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Upper secondary school ;3747
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Upper secondary school ;1862
2022;6;Gràcia;29;el Coll;Women;Upper secondary school ;930
2022;6;Gràcia;30;la Salut;Women;Upper secondary school ;1514
2022;6;Gràcia;31;la Vila de Gràcia;Women;Upper secondary school ;5316
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Upper secondary school ;4138
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Upper secondary school ;3094
2022;7;Horta-Guinardó;34;Can Baró;Women;Upper secondary school ;1010
2022;7;Horta-Guinardó;35;el Guinardó;Women;Upper secondary school ;4623
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Upper secondary school ;1117
2022;7;Horta-Guinardó;37;el Carmel;Women;Upper secondary school ;3399
2022;7;Horta-Guinardó;38;la Teixonera;Women;Upper secondary school ;1291
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Upper secondary school ;915
2022;7;Horta-Guinardó;40;Montbau;Women;Upper secondary school ;621
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Upper secondary school ;689
2022;7;Horta-Guinardó;42;la Clota;Women;Upper secondary school ;61
2022;7;Horta-Guinardó;43;Horta;Women;Upper secondary school ;3295
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Upper secondary school ;3068
2022;8;Nou Barris;45;Porta;Women;Upper secondary school ;3180
2022;8;Nou Barris;46;el Turó de la Peira;Women;Upper secondary school ;1796
2022;8;Nou Barris;47;Can Peguera;Women;Upper secondary school ;188
2022;8;Nou Barris;48;la Guineueta;Women;Upper secondary school ;1750
2022;8;Nou Barris;49;Canyelles;Women;Upper secondary school ;598
2022;8;Nou Barris;50;les Roquetes;Women;Upper secondary school ;1459
2022;8;Nou Barris;51;Verdun;Women;Upper secondary school ;1353
2022;8;Nou Barris;52;la Prosperitat;Women;Upper secondary school ;2789
2022;8;Nou Barris;53;la Trinitat Nova;Women;Upper secondary school ;656
2022;8;Nou Barris;54;Torre Baró;Women;Upper secondary school ;212
2022;8;Nou Barris;55;Ciutat Meridiana;Women;Upper secondary school ;857
2022;8;Nou Barris;56;Vallbona;Women;Upper secondary school ;83
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Upper secondary school ;855
2022;9;Sant Andreu;58;Baró de Viver;Women;Upper secondary school ;198
2022;9;Sant Andreu;59;el Bon Pastor;Women;Upper secondary school ;1275
2022;9;Sant Andreu;60;Sant Andreu;Women;Upper secondary school ;6657
2022;9;Sant Andreu;61;la Sagrera;Women;Upper secondary school ;3501
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Upper secondary school ;1731
2022;9;Sant Andreu;63;Navas;Women;Upper secondary school ;2715
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Upper secondary school ;4444
2022;10;Sant Martí;65;el Clot;Women;Upper secondary school ;3030
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Upper secondary school ;1743
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Upper secondary school ;937
2022;10;Sant Martí;68;el Poblenou;Women;Upper secondary school ;3554
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Upper secondary school ;1281
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Upper secondary school ;2252
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Upper secondary school ;2216
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Upper secondary school ;2907
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Upper secondary school ;3004
2022;1;Ciutat Vella;1;el Raval;Women;Primary studies / school certificate;4225
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Primary studies / school certificate;1046
2022;1;Ciutat Vella;3;la Barceloneta;Women;Primary studies / school certificate;1214
