"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","Cap persona de 65 anys i més","5387"
2022,10,"Sant Martí",71,"Provençals del Poblenou","Cap persona de 65 anys i més","5540"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","Cap persona de 65 anys i més","5882"
2022,10,"Sant Martí",73,"la Verneda i la Pau","Cap persona de 65 anys i més","6242"
2022,1,"Ciutat Vella",1,"el Raval","1 persona","3153"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","1 persona","1176"
2022,1,"Ciutat Vella",3,"la Barceloneta","1 persona","1441"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 persona","1807"
2022,2,"Eixample",5,"el Fort Pienc","1 persona","3258"
2022,2,"Eixample",6,"la Sagrada Família","1 persona","5562"
2022,2,"Eixample",7,"la Dreta de l'Eixample","1 persona","4464"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 persona","4522"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 persona","6455"
2022,2,"Eixample",10,"Sant Antoni","1 persona","4116"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","1 persona","3484"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 persona","146"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","1 persona","3118"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 persona","1102"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","1 persona","1453"
2022,3,"Sants-Montjuïc",16,"la Bordeta","1 persona","1925"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","1 persona","2502"
2022,3,"Sants-Montjuïc",18,"Sants","1 persona","4124"
2022,4,"Les Corts",19,"les Corts","1 persona","5245"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 persona","2654"
2022,4,"Les Corts",21,"Pedralbes","1 persona","1207"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 persona","344"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 persona","2239"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 persona","1460"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 persona","2552"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 persona","5172"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 persona","3086"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","1 persona","1698"
2022,6,"Gràcia",29,"el Coll","1 persona","736"
2022,6,"Gràcia",30,"la Salut","1 persona","1444"
2022,6,"Gràcia",31,"la Vila de Gràcia","1 persona","4907"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 persona","3842"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","1 persona","2855"
2022,7,"Horta-Guinardó",34,"Can Baró","1 persona","944"
2022,7,"Horta-Guinardó",35,"el Guinardó","1 persona","3819"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 persona","887"
2022,7,"Horta-Guinardó",37,"el Carmel","1 persona","3070"
2022,7,"Horta-Guinardó",38,"la Teixonera","1 persona","1091"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 persona","812"
2022,7,"Horta-Guinardó",40,"Montbau","1 persona","565"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 persona","639"
2022,7,"Horta-Guinardó",42,"la Clota","1 persona","44"
2022,7,"Horta-Guinardó",43,"Horta","1 persona","2751"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 persona","2866"
2022,8,"Nou Barris",45,"Porta","1 persona","2698"
2022,8,"Nou Barris",46,"el Turó de la Peira","1 persona","1706"
2022,8,"Nou Barris",47,"Can Peguera","1 persona","289"
2022,8,"Nou Barris",48,"la Guineueta","1 persona","1815"
2022,8,"Nou Barris",49,"Canyelles","1 persona","867"
2022,8,"Nou Barris",50,"les Roquetes","1 persona","1309"
2022,8,"Nou Barris",51,"Verdun","1 persona","1321"
2022,8,"Nou Barris",52,"la Prosperitat","1 persona","2868"
2022,8,"Nou Barris",53,"la Trinitat Nova","1 persona","792"
2022,8,"Nou Barris",54,"Torre Baró","1 persona","223"
2022,8,"Nou Barris",55,"Ciutat Meridiana","1 persona","826"
2022,8,"Nou Barris",56,"Vallbona","1 persona","97"
2022,9,"Sant Andreu",57,"la Trinitat Vella","1 persona","704"
2022,9,"Sant Andreu",58,"Baró de Viver","1 persona","256"
2022,9,"Sant Andreu",59,"el Bon Pastor","1 persona","1009"
2022,9,"Sant Andreu",60,"Sant Andreu","1 persona","5624"
2022,9,"Sant Andreu",61,"la Sagrera","1 persona","3073"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","1 persona","1563"
2022,9,"Sant Andreu",63,"Navas","1 persona","2432"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1 persona","4097"
2022,10,"Sant Martí",65,"el Clot","1 persona","2530"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1 persona","1513"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1 persona","700"
2022,10,"Sant Martí",68,"el Poblenou","1 persona","2654"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1 persona","902"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","1 persona","2114"
2022,10,"Sant Martí",71,"Provençals del Poblenou","1 persona","1826"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","1 persona","2922"
2022,10,"Sant Martí",73,"la Verneda i la Pau","1 persona","3164"
2022,1,"Ciutat Vella",1,"el Raval","2 persones","891"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","2 persones","339"
2022,1,"Ciutat Vella",3,"la Barceloneta","2 persones","446"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","2 persones","554"
2022,2,"Eixample",5,"el Fort Pienc","2 persones","1684"
2022,2,"Eixample",6,"la Sagrada Família","2 persones","2792"
2022,2,"Eixample",7,"la Dreta de l'Eixample","2 persones","2052"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","2 persones","2013"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","2 persones","3391"
2022,2,"Eixample",10,"Sant Antoni","2 persones","2017"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","2 persones","1386"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","2 persones","41"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","2 persones","1518"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","2 persones","594"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","2 persones","791"
2022,3,"Sants-Montjuïc",16,"la Bordeta","2 persones","1151"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","2 persones","1489"
2022,3,"Sants-Montjuïc",18,"Sants","2 persones","2132"
2022,4,"Les Corts",19,"les Corts","2 persones","3338"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","2 persones","1826"
2022,4,"Les Corts",21,"Pedralbes","2 persones","786"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","2 persones","174"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","2 persones","1274"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","2 persones","919"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","2 persones","1399"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","2 persones","2536"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","2 persones","1535"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","2 persones","888"
2022,6,"Gràcia",29,"el Coll","2 persones","388"
2022,6,"Gràcia",30,"la Salut","2 persones","860"
2022,6,"Gràcia",31,"la Vila de Gràcia","2 persones","1972"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","2 persones","2132"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","2 persones","1537"
2022,7,"Horta-Guinardó",34,"Can Baró","2 persones","509"
2022,7,"Horta-Guinardó",35,"el Guinardó","2 persones","2043"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","2 persones","656"
2022,7,"Horta-Guinardó",37,"el Carmel","2 persones","1913"
2022,7,"Horta-Guinardó",38,"la Teixonera","2 persones","668"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","2 persones","398"
2022,7,"Horta-Guinardó",40,"Montbau","2 persones","232"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","2 persones","421"
2022,7,"Horta-Guinardó",42,"la Clota","2 persones","16"
2022,7,"Horta-Guinardó",43,"Horta","2 persones","1749"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","2 persones","1626"
2022,8,"Nou Barris",45,"Porta","2 persones","1548"
2022,8,"Nou Barris",46,"el Turó de la Peira","2 persones","629"
2022,8,"Nou Barris",47,"Can Peguera","2 persones","90"
2022,8,"Nou Barris",48,"la Guineueta","2 persones","1159"
