"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Illes Balears","15"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Canàries","14"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Cantàbria","12"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Castella i Lleó","97"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Castella-la Manxa","28"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Comunitat Valenciana","81"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Extremadura","26"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Galícia","95"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Comunitat de Madrid","62"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Regió de Múrcia","23"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Comunitat Foral de Navarra","16"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","País Basc","46"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Rioja, La","6"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Ceuta","4"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Melilla","12"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Estranger","10508"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Barcelona ciutat","2727"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Resta Catalunya","297"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","334"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Aragó","54"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Principat d'Astúries","23"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Illes Balears","15"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Canàries","8"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Cantàbria","11"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Castella i Lleó","96"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Castella-la Manxa","30"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Comunitat Valenciana","60"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Extremadura","35"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Galícia","101"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Comunitat de Madrid","53"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Regió de Múrcia","21"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Comunitat Foral de Navarra","17"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","País Basc","22"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Rioja, La","7"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Ceuta","1"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Melilla","8"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","Estranger","3302"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Barcelona ciutat","2542"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Resta Catalunya","291"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Andalusia","285"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Aragó","39"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Principat d'Astúries","15"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Illes Balears","9"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Canàries","5"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","Cantàbria","9"
