year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;5;Sarrià-Sant Gervasi;23;Sarrià;2527
2022;1;Ciutat Vella;2;el Barri Gòtic;2482
2022;9;Sant Andreu;60;Sant Andreu;2467
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;2443
2022;3;Sants-Montjuïc;17;Sants - Badal;2442
2022;10;Sant Martí;65;el Clot;2432
2022;9;Sant Andreu;63;Navas;2422
2022;10;Sant Martí;70;el Besòs i el Maresme;2422
2022;3;Sants-Montjuïc;16;la Bordeta;2401
2022;9;Sant Andreu;63;Navas;2393
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;2387
2022;10;Sant Martí;68;el Poblenou;2369
2022;1;Ciutat Vella;1;el Raval;2300
2022;10;Sant Martí;71;Provençals del Poblenou;2293
2022;10;Sant Martí;70;el Besòs i el Maresme;2257
2022;1;Ciutat Vella;1;el Raval;2228
2022;2;Eixample;6;la Sagrada Família;2199
2022;3;Sants-Montjuïc;16;la Bordeta;2195
2022;3;Sants-Montjuïc;15;Hostafrancs;2161
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;2093
2022;1;Ciutat Vella;1;el Raval;2063
2022;6;Gràcia;28;Vallcarca i els Penitents;2040
2022;5;Sarrià-Sant Gervasi;23;Sarrià;2038
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;1993
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;1992
2022;6;Gràcia;28;Vallcarca i els Penitents;1973
2022;3;Sants-Montjuïc;15;Hostafrancs;1971
2022;6;Gràcia;31;la Vila de Gràcia;1965
2022;8;Nou Barris;48;la Guineueta;1946
2022;1;Ciutat Vella;3;la Barceloneta;1901
2022;3;Sants-Montjuïc;16;la Bordeta;1892
2022;2;Eixample;7;la Dreta de l'Eixample;1868
2022;9;Sant Andreu;62;el Congrés i els Indians;1831
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;1828
2022;3;Sants-Montjuïc;11;el Poble Sec;1822
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;1818
2022;8;Nou Barris;50;les Roquetes;1812
2022;1;Ciutat Vella;2;el Barri Gòtic;1810
2022;2;Eixample;6;la Sagrada Família;1792
2022;10;Sant Martí;70;el Besòs i el Maresme;1789
2022;8;Nou Barris;46;el Turó de la Peira;1763
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;1732
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;1713
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;1711
2022;8;Nou Barris;46;el Turó de la Peira;1701
2022;4;Les Corts;19;les Corts;1697
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;1691
2022;2;Eixample;10;Sant Antoni;1687
2022;3;Sants-Montjuïc;18;Sants;1676
2022;9;Sant Andreu;62;el Congrés i els Indians;1674
2022;7;Horta-Guinardó;35;el Guinardó;1661
2022;8;Nou Barris;48;la Guineueta;1660
2022;10;Sant Martí;71;Provençals del Poblenou;1633
2022;8;Nou Barris;50;les Roquetes;1619
2022;6;Gràcia;30;la Salut;1612
2022;6;Gràcia;28;Vallcarca i els Penitents;1596
2022;3;Sants-Montjuïc;13;la Marina de Port;1596
2022;3;Sants-Montjuïc;11;el Poble Sec;1549
2022;6;Gràcia;30;la Salut;1544
2022;7;Horta-Guinardó;37;el Carmel;1541
2022;10;Sant Martí;68;el Poblenou;1540
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;1530
2022;8;Nou Barris;48;la Guineueta;1514
2022;9;Sant Andreu;59;el Bon Pastor;1498
2022;8;Nou Barris;51;Verdun;1492
2022;2;Eixample;7;la Dreta de l'Eixample;1482
2022;8;Nou Barris;46;el Turó de la Peira;1464
2022;7;Horta-Guinardó;38;la Teixonera;1461
2022;6;Gràcia;30;la Salut;1458
2022;2;Eixample;5;el Fort Pienc;1434
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;1431
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;1425
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;1424
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;1421
2022;9;Sant Andreu;60;Sant Andreu;1405
2022;8;Nou Barris;51;Verdun;1403
2022;9;Sant Andreu;62;el Congrés i els Indians;1395
2022;7;Horta-Guinardó;38;la Teixonera;1381
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;1363
2022;2;Eixample;10;Sant Antoni;1347
2022;6;Gràcia;31;la Vila de Gràcia;1334
2022;3;Sants-Montjuïc;15;Hostafrancs;1332
2022;10;Sant Martí;73;la Verneda i la Pau;1326
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;1316
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;1302
2022;8;Nou Barris;52;la Prosperitat;1297
2022;10;Sant Martí;65;el Clot;1294
2022;9;Sant Andreu;61;la Sagrera;1261
2022;8;Nou Barris;51;Verdun;1253
2022;3;Sants-Montjuïc;18;Sants;1227
2022;8;Nou Barris;50;les Roquetes;1226
2022;7;Horta-Guinardó;34;Can Baró;1219
2022;7;Horta-Guinardó;34;Can Baró;1206
2022;10;Sant Martí;72;Sant Martí de Provençals;1187
2022;4;Les Corts;19;les Corts;1184
2022;9;Sant Andreu;59;el Bon Pastor;1183
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;1183
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;1181
2022;7;Horta-Guinardó;36;la Font d'en Fargues;1171
2022;10;Sant Martí;70;el Besòs i el Maresme;1155
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;1154
2022;4;Les Corts;21;Pedralbes;1152
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;1148
2022;4;Les Corts;21;Pedralbes;1146
2022;1;Ciutat Vella;3;la Barceloneta;1145
2022;4;Les Corts;21;Pedralbes;1144
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;1126
2022;7;Horta-Guinardó;33;el Baix Guinardó;1122
2022;2;Eixample;5;el Fort Pienc;1116
2022;7;Horta-Guinardó;43;Horta;1106
2022;3;Sants-Montjuïc;17;Sants - Badal;1087
2022;8;Nou Barris;45;Porta;1087
2022;7;Horta-Guinardó;38;la Teixonera;1083
2022;7;Horta-Guinardó;35;el Guinardó;1083
2022;9;Sant Andreu;57;la Trinitat Vella;1061
2022;7;Horta-Guinardó;36;la Font d'en Fargues;1054
2022;8;Nou Barris;55;Ciutat Meridiana;1035
2022;3;Sants-Montjuïc;13;la Marina de Port;1032
2022;9;Sant Andreu;63;Navas;1029
