layer_code;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district_code;neighbourhood_code;district_name;neighbourhood_name
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.125.127;4581022.83;427.033.226;4.580.821.908;2.127.429;41.375.609;METRO (L5) - Badal-;3;17;Sants-Montjuïc;Sants - Badal
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.216.717;4.581.497.679;428.124.806;4.581.296.752;2.140.424;41.379.984;METRO (L5) - Sants Estació-;3;18;Sants-Montjuïc;Sants
K009;Transports i serveis relacionats;Funicular;430.714.189;4.580.900.951;430.622.254;4.580.700.029;2.170.357;41.374.829;Funicular de Montjuïc-TMB-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;436.093.853;4.588.139.562;436.001.871;4.587.938.571;2.233.917;41.440.471;METRO (L10N) - Gorg-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.601.691;4.590.262.835;431.509.751;4.590.061.826;2.179.909;41.459.224;METRO (L11) - Torre Baró | Vallbona-;8;54;Nou Barris;Torre Baró
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.338.754;4.581.379.719;429.246.832;4.581.178.793;2.153.855;41.379.021;Rocafort (Rocafort / Diputació)-;2;9;Eixample;la Nova Esquerra de l'Eixample
K003;Transports i serveis relacionats;RENFE;431.541.771;4.582.779.212;431.449.829;4.582.578.272;218.004;41.391.817;RENFE - ARC DE TRIOMF-;2;5;Eixample;el Fort Pienc
K011;Transports i serveis relacionats;Tramvia;422.486.628;4.579.426.234;422.394.769;4.579.225.328;2.072.171;41.360.796;TRAMVIA (T1,T2) - IGNASI IGLÉSIAS-;;;;
K011;Transports i serveis relacionats;Tramvia;421.550.015;4.581.544.631;421.458.165;4.581.343.706;20.607;41.379.784;TRAMVIA (línia T3) - TORREBLANCA-;;;;
K008;Transports i serveis relacionats;Estació marítima;431585.51;4.580.560.397;431.493.567;4.580.359.478;2.180.814;41.371.837;Terminal Marítima Sud *Creuers-;1;1;Ciutat Vella;el Raval
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.787.305;4.576.401.042;425.695.415;4.576.200.163;2.111.998;41.333.861;Mercabarna (Carrer K / Carrer Transversal 6)-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.619.234;4.587.886.415;429.527.311;4.587.685.429;2.156.452;41.437.649;Valldaura (Passeig Valldaura)-;7;43;Horta-Guinardó;Horta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.665.214;4.587.393.131;434.573.245;4.587.192.148;2.216.899;41.433.633;Artigues | Sant Adrià (Ctra. Santa Coloma)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432099.53;4.583.198.698;432.007.583;4.582.997.754;2.186.664;41.395.642;Marina (L'Auditori)-;2;5;Eixample;el Fort Pienc
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.476.552;4.588.576.393;432.384.603;4.588.375.399;2.190.573;41.444.109;Torras i Bages (Passeig Santa Coloma / costat muntanya)-;9;60;Sant Andreu;Sant Andreu
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.498.614;4.588.577.075;432.406.665;4.588.376.081;2.190.837;41.444.117;Torras i Bages (Passeig Santa Coloma / costat mar)-;9;60;Sant Andreu;Sant Andreu
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.747.884;4.582.342.931;430.655.949;4.582.141.996;2.170.595;41.387.819;Catalunya (Ronda Sant Pere)-;2;7;Eixample;la Dreta de l'Eixample
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.896.762;4.580.887.245;428.804.844;4.580.686.324;2.148.628;41.374.547;FGC - ESPANYA-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.181.037;4.584.893.225;432089.09;4.584.692.266;2.187.449;41.410.911;Clot (València)-;10;65;Sant Martí;el Clot
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;422.492.538;4.573.114.487;422.400.677;4572913.64;2.073.048;4.130.395;Aeroport T2 (Aeroport T2)-;;;;
K003;Transports i serveis relacionats;RENFE;431.616.688;4591556.12;431.524.748;4.591.355.099;2.179.942;41.470.873;RENFE - MONTCADA BIFURCACIÓ-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.169.942;4.584.324.675;428.078.032;4.584.123.722;2.139.529;41.405.442;FGC - EL PUTXET-;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.059.722;4.579.371.475;427.967.811;4.579.170.568;21.388;41.360.821;Foneria (Mercat de la Marina)-;3;13;Sants-Montjuïc;la Marina de Port
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428332.15;4.578.861.262;428.240.237;4578660.36;2.142.117;4.135.625;Foc (Foc (costat Montjuïc))-;3;13;Sants-Montjuïc;la Marina de Port
K011;Transports i serveis relacionats;Tramvia;434.021.534;4585878.64;433929.57;4.585.677.671;2.209.361;4.141.994;TRAMVIA (T5, T6) - BESÒS-;10;70;Sant Martí;el Besòs i el Maresme
K011;Transports i serveis relacionats;Tramvia;433.089.866;4.584.362.195;432997.91;4584161.24;2.198.381;41.406.205;TRAMVIA (T4) - PERE IV-;10;71;Sant Martí;Provençals del Poblenou
K010;Transports i serveis relacionats;Telefèric;432.180.132;4.580.715.447;432.088.184;4.580.514.526;2.187.907;41.373.283;Telefèric de Barcelona-;1;3;Ciutat Vella;la Barceloneta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.697.383;4.587.105.252;428.605.469;4.586.904.273;2.145.511;41.430.532;Montbau (Palau  Olímpic Vall d'Hebron)-;7;41;Horta-Guinardó;la Vall d'Hebron
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.359.795;4.580.810.868;425267.91;4.580.609.948;2.106.347;41.373.538;Pubilla Cases (Avinguda Josep Molins)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.899.312;4.586.302.071;428.807.396;4.586.101.099;2.148.022;41.423.316;El Coll | La Teixonera (Arenys)-;7;38;Horta-Guinardó;la Teixonera
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.194.347;4.586.099.427;432102.4;4.585.898.456;2.187.473;41.421.776;La Sagrera (Hondures)-;9;61;Sant Andreu;la Sagrera
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.413.678;4586538.25;428.321.766;4.586.337.276;2.142.183;414.254;Vall d'Hebron (Residència Sanitària)-;7;40;Horta-Guinardó;Montbau
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.691.904;4586994.22;432.599.953;4.586.793.241;2.193.327;41.429.877;Onze de Setembre (Onze de Setembre)-;9;60;Sant Andreu;Sant Andreu
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;435.288.869;4588390.99;435.196.894;4.588.189.997;2.224.255;41.442.671;La Salut (Marquès de Sant Mori)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;435.356.928;4.588.397.043;435.264.953;4588196.05;2.225.069;41.442.731;La Salut (Quevedo)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.469.143;4.585.027.729;430.377.212;4.584.826.769;2.166.953;41.411.976;Alfons X (Lepant)-;7;33;Horta-Guinardó;el Baix Guinardó
