district_code,district_name,neighbourhood_code,neighbourhood_name,label_accidents,label_avg_occ,label_above_65,label_academic_level,label_between_18_65,label_bus_stops,label_children_play_areas,label_cinema_theatre_concerts,label_cultural_leisure_spaces,label_library_studyroom,label_sport_facilities,label_tourists_points,label_transportation,label_street_markets_and_fairs,label_rent_price,label_hotels,label_spaces_for_excercise,label_parks_gardens,label_exhebitons_museums,label_music_drinks,label_temporary_exhibitions
8,Nou Barris,49,Canyelles,infrequent,lightly_populated,medium_low,low,low,low,few,none,low,few,low,none,few,few,medium,none,none,few,none,none,none
3,Sants-Montjuïc,14,la Font de la Guatlla,infrequent,lightly_populated,medium_low,low,low,low,low,none,low,few,low,few,none,none,medium,none,none,few,few,none,few
7,Horta-Guinardó,39,Sant Genís dels Agudells,infrequent,moderately_populated,medium_low,low,low,medium,medium,none,low,few,low,some,few,none,affordable,none,some,few,none,none,none
7,Horta-Guinardó,38,la Teixonera,infrequent,lightly_populated,medium_low,low,low,low,few,none,low,none,low,none,few,none,affordable,none,none,few,none,none,none
6,Gràcia,29,el Coll,infrequent,lightly_populated,medium_low,low,low,low,low,none,low,none,low,some,few,none,affordable,none,few,few,none,none,none
7,Horta-Guinardó,34,Can Baró,infrequent,lightly_populated,medium_low,low,low,low,low,none,low,none,low,few,none,none,affordable,none,none,few,none,none,none
7,Horta-Guinardó,40,Montbau,infrequent,lightly_populated,low,low,low,low,few,none,low,some,low,some,few,none,affordable,none,none,few,none,none,none
5,Sarrià-Sant Gervasi,23,Sarrià,frequent,crowded,medium_high,low,medium,high,several,few,medium,some,high,several,few,some,very_expensive,few,few,some,none,few,none
10,Sant Martí,64,el Camp de l'Arpa del Clot,frequent,sparsely_populated,high,high,high,low,medium,some,low,few,low,few,few,few,medium,none,none,few,none,none,none
10,Sant Martí,70,el Besòs i el Maresme,frequent,overcrowded,medium,low,medium,medium,very_high,few,medium,few,low,some,some,few,affordable,none,none,few,few,none,few
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,frequent,lightly_populated,high,high,high,low,low,few,low,few,high,many,few,none,expensive,few,none,few,none,few,none
4,Les Corts,20,la Maternitat i Sant Ramon,frequent,moderately_populated,medium_high,low,medium,high,few,some,medium,many,very_high,many,some,none,expensive,few,few,some,few,few,few
10,Sant Martí,65,el Clot,frequent,moderately_populated,medium_high,low,medium,low,several,few,low,none,medium,some,few,few,medium,none,none,few,none,none,none
7,Horta-Guinardó,35,el Guinardó,frequent,lightly_populated,high,high,high,high,medium,none,low,few,medium,some,few,none,affordable,few,none,few,few,few,none
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,frequent,lightly_populated,medium,low,low,medium,few,few,low,some,low,many,some,none,expensive,few,none,few,few,few,few
7,Horta-Guinardó,37,el Carmel,frequent,moderately_populated,medium_high,low,medium,high,several,none,low,few,low,some,few,none,affordable,none,few,few,none,none,none
3,Sants-Montjuïc,13,la Marina de Port,frequent,moderately_populated,medium_high,low,medium,medium,high,few,medium,few,medium,some,few,none,low,none,some,some,none,none,none
7,Horta-Guinardó,43,Horta,frequent,densely_populated,medium_high,low,medium,high,many,few,low,some,medium,some,few,few,affordable,few,some,few,none,few,none
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,frequent,densely_populated,medium_high,high,medium,high,medium,few,medium,some,medium,several,few,few,very_expensive,few,few,few,few,few,few
9,Sant Andreu,61,la Sagrera,frequent,moderately_populated,medium_high,low,medium,medium,many,few,low,few,medium,many,few,none,affordable,none,few,few,none,none,none
9,Sant Andreu,63,Navas,rare,lightly_populated,medium_high,low,medium,low,few,none,low,none,low,none,few,none,medium,few,few,none,none,few,none
9,Sant Andreu,62,el Congrés i els Indians,rare,lightly_populated,medium,low,low,low,medium,few,low,few,low,many,few,none,affordable,few,few,few,none,few,none
5,Sarrià-Sant Gervasi,24,les Tres Torres,rare,crowded,medium,low,low,low,low,few,low,few,low,some,few,none,luxurious,none,none,few,none,none,none
9,Sant Andreu,57,la Trinitat Vella,rare,crowded,medium_low,low,low,low,medium,none,low,some,low,some,few,none,low,none,few,none,none,none,none
8,Nou Barris,55,Ciutat Meridiana,rare,crowded,medium_low,low,low,medium,many,few,low,none,low,few,few,few,low,none,few,few,none,none,none
8,Nou Barris,51,Verdun,rare,lightly_populated,medium,low,low,low,low,none,low,none,low,few,few,none,low,none,none,none,none,none,none
8,Nou Barris,46,el Turó de la Peira,rare,moderately_populated,medium,low,low,low,few,none,low,none,low,some,few,none,affordable,none,few,few,none,none,none
7,Horta-Guinardó,41,la Vall d'Hebron,rare,moderately_populated,medium_low,low,low,low,many,none,low,few,high,some,few,none,medium,none,few,some,none,none,none
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",rare,crowded,low,low,low,very_high,low,few,low,few,low,many,few,none,medium,none,none,few,few,none,few
6,Gràcia,30,la Salut,rare,lightly_populated,medium,low,low,medium,few,none,low,few,medium,many,none,none,expensive,none,none,few,few,none,none
8,Nou Barris,50,les Roquetes,rare,densely_populated,medium,low,low,medium,few,none,low,few,low,none,few,none,low,none,none,few,none,none,none
3,Sants-Montjuïc,11,el Poble-sec,very_common,moderately_populated,high,high,high,very_high,many,many,high,many,very_high,several,some,none,medium,some,few,many,some,some,some
1,Ciutat Vella,1,el Raval,very_common,densely_populated,high,high,high,medium,medium,a_lot,high,a_lot,medium,several,some,few,medium,some,few,some,some,many,many
2,Eixample,7,la Dreta de l'Eixample,very_common,lightly_populated,high,high,high,very_high,medium,many,high,a_lot,high,a_lot,many,none,very_expensive,many,none,many,some,a_lot,some
