layer_code ;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district;neighborhood;district_name;neighborhood_name
K014;Transports i serveis relacionats;Autobusos diürns;427894443;4580999521;427802534;4580798599;213663;41375469;BUS -D20-52--;3;18;Sants-Montjuïc;Sants
K015;Transports i serveis relacionats;Autobusos nocturns;427894443;4580999521;427802534;4580798599;213663;41375469;NITBUS -N14-N2-N28--;3;18;Sants-Montjuïc;Sants
K015;Transports i serveis relacionats;Autobusos nocturns;428120838;4580991387;428028927;4580790465;2139338;41375416;NITBUS -N14-N2-N28--;3;18;Sants-Montjuïc;Sants
K014;Transports i serveis relacionats;Autobusos diürns;42944591;458084668;429353987;4580645759;2155199;4137423;BUS -55--;3;11;Sants-Montjuïc;el Poble-sec
K014;Transports i serveis relacionats;Autobusos diürns;432049521;4590779173;431957577;4590578159;2185213;41463912;BUS -97-180-183--;8;56;Nou Barris;Vallbona
K015;Transports i serveis relacionats;Autobusos nocturns;429303244;4584701;429211323;4584500043;2153043;41408932;NITBUS -N0--;6;30;Gràcia;la Salut
K015;Transports i serveis relacionats;Autobusos nocturns;428267369;4583507523;428175458;4583306578;2140792;41398091;NITBUS -N7--;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K015;Transports i serveis relacionats;Autobusos nocturns;429046955;4584026895;428955037;4583825944;2150056;41402838;NITBUS -N4--;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró
K015;Transports i serveis relacionats;Autobusos nocturns;428354112;4583706629;4282622;4583505682;2141806;41399892;NITBUS -N8--;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K015;Transports i serveis relacionats;Autobusos nocturns;432414442;4588693729;432322494;4588492734;2189816;4144516;NITBUS -N3--;9;60;Sant Andreu;Sant Andreu
K014;Transports i serveis relacionats;Autobusos diürns;432427531;458891422;432335583;4588713223;2189948;41447147;BUS -60-127--;9;57;Sant Andreu;la Trinitat Vella
K015;Transports i serveis relacionats;Autobusos nocturns;431118394;4590491434;431026458;4590290423;2174097;41461241;NITBUS -N3--;8;55;Nou Barris;Ciutat Meridiana
K014;Transports i serveis relacionats;Autobusos diürns;426572671;4583962864;426480775;4583761915;2120466;41402039;BUS -130-V7--;5;23;Sarrià-Sant Gervasi;Sarrià
K014;Transports i serveis relacionats;Autobusos diürns;432340623;4589223472;432248676;4589022472;2188873;41449925;BUS -96-97-104--;9;57;Sant Andreu;la Trinitat Vella
K014;Transports i serveis relacionats;Autobusos diürns;426746396;4581029692;426654498;458082877;2122899;41375637;BUS -D20-52--;3;17;Sants-Montjuïc;Sants - Badal
K015;Transports i serveis relacionats;Autobusos nocturns;426746396;4581029692;426654498;458082877;2122899;41375637;NITBUS -N14-N2-N28--;3;17;Sants-Montjuïc;Sants - Badal
K014;Transports i serveis relacionats;Autobusos diürns;427241776;4581024145;427149873;4580823223;2128823;41375632;BUS -D20-52--;3;17;Sants-Montjuïc;Sants - Badal
K015;Transports i serveis relacionats;Autobusos nocturns;427241776;4581024145;427149873;4580823223;2128823;41375632;NITBUS -N14-N2-N28--;3;17;Sants-Montjuïc;Sants - Badal
K015;Transports i serveis relacionats;Autobusos nocturns;433127371;4582605576;433035415;4582404637;2199024;41390387;NITBUS -N6-N28--;10;67;Sant Martí;la Vila Olímpica del Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;432370367;4589616682;43227842;4589415679;2189185;41453469;BUS -62-76-96-97-104--;9;57;Sant Andreu;la Trinitat Vella
K015;Transports i serveis relacionats;Autobusos nocturns;432370367;4589616682;43227842;4589415679;2189185;41453469;NITBUS -N3--;9;57;Sant Andreu;la Trinitat Vella
K014;Transports i serveis relacionats;Autobusos diürns;433958476;4586410255;433866513;4586209281;2208548;41424723;BUS -H10--;10;73;Sant Martí;la Verneda i la Pau
K014;Transports i serveis relacionats;Autobusos diürns;428585835;4577493827;428493919;4577292937;214531;41343956;BUS -21-23-109-V3--;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K015;Transports i serveis relacionats;Autobusos nocturns;428585835;4577493827;428493919;4577292937;214531;41343956;NITBUS -N1--;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K015;Transports i serveis relacionats;Autobusos nocturns;429768565;4581786733;429676639;4581585803;2158948;41382725;NITBUS -N1-N12-N13-N14-N15-N16-N17-N2-N18-N28--;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;428865253;4587345026;428773337;4587144045;2147491;41432706;BUS -V21--;7;41;Horta-Guinardó;la Vall d'Hebron
K015;Transports i serveis relacionats;Autobusos nocturns;426409764;4583562589;42631787;4583361644;2118566;41398419;NITBUS -N7--;5;23;Sarrià-Sant Gervasi;Sarrià
K014;Transports i serveis relacionats;Autobusos diürns;431940367;4590167984;431848424;4589966976;2183975;41458398;BUS -76-D50--;8;54;Nou Barris;Torre Baró
K015;Transports i serveis relacionats;Autobusos nocturns;433956764;4584529235;433864801;4584328278;2208733;41407781;NITBUS -N6--;10;69;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;424573572;4587024455;424481696;4586823478;2096171;41429427;BUS -128--;5;22;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes
K014;Transports i serveis relacionats;Autobusos diürns;424619019;4587271803;424527142;4587070824;2096684;41431659;BUS -128--;5;22;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes
