year;trimester;district_name;neighbourhood_name;average _rent;price
2020;4;Eixample;la Nova Esquerra de l'Eixample;average rent per surface (euro/m2);14
2020;4;Eixample;Sant Antoni;average rent per surface (euro/m2);13. Jun
2020;4;Sants-Montjuic;el Poble Sec;average rent per surface (euro/m2);14
2020;4;Sants-Montjuic;la Marina de Port;average rent per surface (euro/m2);10. Aug
2020;4;Sants-Montjuic;la Font de la Guatlla;average rent per surface (euro/m2);13. Jun
2020;4;Sants-Montjuic;Hostafrancs;average rent per surface (euro/m2);14
2020;4;Sants-Montjuic;la Bordeta;average rent per surface (euro/m2);12. Mai
2020;4;Sants-Montjuic;Sants - Badal;average rent per surface (euro/m2);13. Mai
2020;4;Sants-Montjuic;Sants;average rent per surface (euro/m2);13. Mai
2020;4;Les Corts;les Corts;average rent per surface (euro/m2);14. Apr
2020;4;Les Corts;la Maternitat i Sant Ramon;average rent per surface (euro/m2);13. Jul
2020;4;Les Corts;Pedralbes;average rent per surface (euro/m2);15. Jan
2020;4;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent per surface (euro/m2);11. Jun
2020;4;Sarria-Sant Gervasi;Sarria;average rent per surface (euro/m2);16. Feb
2020;4;Sarria-Sant Gervasi;les Tres Torres;average rent per surface (euro/m2);16. Aug
2020;4;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent per surface (euro/m2);14. Sep
2020;4;Sarria-Sant Gervasi;Sant Gervasi - Galvany;average rent per surface (euro/m2);14. Jul
2020;4;Sarria-Sant Gervasi;el Putxet i el Farro;average rent per surface (euro/m2);14. Mai
2020;4;Gracia;Vallcarca i els Penitents;average rent per surface (euro/m2);14. Mai
2020;4;Gracia;el Coll;average rent per surface (euro/m2);12
2020;4;Gracia;la Salut;average rent per surface (euro/m2);12. Aug
2020;4;Gracia;la Vila de Gracia;average rent per surface (euro/m2);14. Aug
2020;4;Gracia;el Camp d'en Grassot i Gracia Nova;average rent per surface (euro/m2);13. Jun
2020;4;Horta-Guinardo;el Baix Guinardo;average rent per surface (euro/m2);13. Feb
2020;4;Horta-Guinardo;Can Baro;average rent per surface (euro/m2);12. Jun
2020;4;Horta-Guinardo;el Guinardo;average rent per surface (euro/m2);12. Jul
2020;4;Horta-Guinardo;la Font d'en Fargues;average rent per surface (euro/m2);12. Mai
2020;4;Horta-Guinardo;el Carmel;average rent per surface (euro/m2);11. Apr
2020;4;Horta-Guinardo;la Teixonera;average rent per surface (euro/m2);12
2020;4;Horta-Guinardo;Sant Genis dels Agudells;average rent per surface (euro/m2);09. Jul
2020;4;Horta-Guinardo;Montbau;average rent per surface (euro/m2);12. Jun
2020;4;Horta-Guinardo;la Vall d'Hebron;average rent per surface (euro/m2);11. Apr
2020;4;Horta-Guinardo;Horta;average rent per surface (euro/m2);12. Jan
