register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿75990017964;Bar Musical Quilombo;17.09.96 00:00;17.09.22 02:39;C Aribau;149;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29244E+15;4,58269E+14;4,13926E+15;2,15364E+16
﻿99400486863;Tablao Framenco La Singla;20.03.17 13:27;17.09.22 08:56;C Marina;181;5;el Fort Pienc;2;Eixample;8013;BARCELONA;4,31472E+16;4,58344E+15;4,13996E+15;2,1802E+15
﻿99400486863;Tablao Framenco La Singla;20.03.17 13:27;17.09.22 08:56;C Marina;181;5;el Fort Pienc;2;Eixample;8013;BARCELONA;4,31472E+16;4,58344E+15;4,13996E+15;2,1802E+15
﻿99400628372;Bar Musical Acústic Sant Andreu;21.05.19 11:41;17.09.22 11:03;Rier Sant Andreu;9;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32221E+15;4,58724E+15;4,14338E+15;2,18874E+16
﻿99400596522;Bar Museum;04.07.18 09:33;15.09.21 10:06;C Sepúlveda;178;10;Sant Antoni;2;Eixample;8011;BARCELONA;4,29995E+15;4,58164E+15;4,13833E+16;2,16275E+16
﻿99400596558;Cocteleria Bloody Mary;04.07.18 13:19;28.05.21 14:38;C Ferrer de Blanes;3;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29717E+15;4,58332E+15;4,13984E+15;2,15923E+16
﻿99400596558;Cocteleria Bloody Mary;04.07.18 13:19;28.05.21 14:38;C Ferrer de Blanes;3;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29717E+15;4,58332E+15;4,13984E+15;2,15923E+16
﻿99400596570;Bar Eldiset;04.07.18 14:37;28.05.21 14:38;C Antic de Sant Joan;3;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31729E+16;4,58182E+15;4,1385E+16;2,18346E+16
﻿99400596570;Bar Eldiset;04.07.18 14:37;28.05.21 14:38;C Antic de Sant Joan;3;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31729E+16;4,58182E+15;4,1385E+16;2,18346E+16
﻿99400370754;Bar Live BCN;16.02.15 16:32;17.09.22 08:14;C Camp;16;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8021;BARCELONA;4,27946E+15;4,58374E+15;4,14019E+16;2,13799E+16
