register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086012033;Àrea de Joc Infantil a la Plaça dels Porxos;04.04.85 00:00;04.05.21 12:33;263702;Pl Porxos;1;;72;Sant Martí de Provençals;10;Sant Martí;8020;BARCELONA;4,33132E+16;4,58508E+15;4,14145E+15;2,19989E+15
﻿92086012034;Àrea de Joc Infantil a Doctor Zamenhof;04.04.85 00:00;04.05.21 12:33;104200;C Doctor Zamenhof;1;;72;Sant Martí de Provençals;10;Sant Martí;8020;BARCELONA;4,32813E+16;4,58525E+15;4,1416E+13;2,19604E+15
﻿92086001950;Biblioteca Oriol Bohigas;16.05.86 00:00;17.09.22 03:49;144601;Av Diagonal;649;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25868E+16;4,58181E+15;4,13844E+16;2,11337E+15
﻿92086001950;Biblioteca Oriol Bohigas;16.05.86 00:00;17.09.22 03:49;144601;Av Diagonal;649;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25868E+16;4,58181E+15;4,13844E+16;2,11337E+15
﻿92086003038;Biblioteca;16.05.86 00:00;17.09.22 03:52;223107;Ptge Mulet;4;;27;el Putxet i el Farró;5;Sarrià-Sant Gervasi;8006;BARCELONA;4,28893E+15;4,58376E+15;4,14022E+16;2,14932E+16
﻿92086002014;CRAI - Biblioteca de Recerca Fabià Estapé;16.05.86 00:00;11.07.22 12:59;144601;Av Diagonal;690;;21;Pedralbes;4;Les Corts;8034;BARCELONA;4,26003E+15;4,58195E+15;4,13857E+16;2,11497E+15
﻿92086002014;CRAI - Biblioteca de Recerca Fabià Estapé;16.05.86 00:00;11.07.22 12:59;144601;Av Diagonal;690;;21;Pedralbes;4;Les Corts;8034;BARCELONA;4,26003E+15;4,58195E+15;4,13857E+16;2,11497E+15
﻿92086012260;Àrea de Joc Infantil a la Plaça del Nen de la Rutlla;15.04.85 00:00;04.05.21 12:33;269607;Pl Nen de la Rutlla;;;35;el Guinardó;7;Horta-Guinardó;8041;BARCELONA;4,30776E+15;4,58558E+15;4,14188E+15;2,17164E+16
﻿92086002053;Arxiu i Biblioteca;18.04.85 00:00;17.09.22 03:50;144601;Av Diagonal;649;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25868E+16;4,58181E+15;4,13844E+16;2,11337E+15
﻿92086012268;Àrea de Joc Infantil a la Plaça Palmeres;15.04.85 00:00;04.05.21 12:34;301109;Pl Palmeres;1;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32019E+16;4,58708E+15;4,14324E+15;2,18634E+16
