year;indicator;equipment;district_code;district_name;neighborhood_code;neighborhood_name;general_type;equipment_type;scope;latitude;longitude
2021;Visitants;Espais VolART i VolART2. Fundació Vila Casas;2;Eixample;7;la Dreta de l'Eixample;Centres d'exposicions;Centres d'exposicions;Arts visuals;41390963134;2175293998
2021;Visites_Exposicions_Temporals;Espais VolART i VolART2. Fundació Vila Casas;2;Eixample;7;la Dreta de l'Eixample;Centres d'exposicions;Centres d'exposicions;Arts visuals;41390963134;2175293998
2021;Num_Exposicions_Temporals;Fabra i Coats - Centre d'Art Contemporani;9;Sant Andreu;60;Sant Andreu;Centres d'exposicions;Centres d'exposicions;Arts visuals;41433762956;2190815632
2021;Visitants;Fabra i Coats - Centre d'Art Contemporani;9;Sant Andreu;60;Sant Andreu;Centres d'exposicions;Centres d'exposicions;Arts visuals;41433762956;2190815632
2021;Visites_Exposicions_Temporals;Fabra i Coats - Centre d'Art Contemporani;9;Sant Andreu;60;Sant Andreu;Centres d'exposicions;Centres d'exposicions;Arts visuals;41433762956;2190815632
2021;Num_Exposicions_Temporals;Fundació Antoni Tàpies;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Arts visuals;41391522171;2163757744
2021;Visitants;Fundació Antoni Tàpies;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Arts visuals;41391522171;2163757744
2021;Visites_Exposicions_Temporals;Fundació Antoni Tàpies;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Museus i col·leccions;Arts visuals;41391522171;2163757744
2021;Fons_Colleccio;Fundació Foto Colectania;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;413876349;21827391
2021;Num_Exposicions_Temporals;Fundació Foto Colectania;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;413876349;21827391
2021;Visitants;Fundació Foto Colectania;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;413876349;21827391
2021;Visites_Exposicions_Temporals;Fundació Foto Colectania;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;413876349;21827391
2021;Visitants;Fundació Fran Daurel;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41369116603;2146724957
2021;Fons_Colleccio;Fundació Joan Miró;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;4136863;2159851
2021;Num_Exposicions_Temporals;Fundació Joan Miró;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;4136863;2159851
2021;Visitants;Fundació Joan Miró;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;4136863;2159851
2021;Visites_Exposicions_Temporals;Fundació Joan Miró;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;4136863;2159851
2021;Visitants;Fundació Julio Muñoz Ramonet;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;;
2021;Fons_Colleccio;Fundació Suñol;4;Les Corts;20;la Maternitat i Sant Ramon;Centres patrimonials;Museus i col·leccions;Arts visuals;413826167;21262746
2021;Num_Exposicions_Temporals;Fundació Suñol;4;Les Corts;20;la Maternitat i Sant Ramon;Centres patrimonials;Museus i col·leccions;Arts visuals;413826167;21262746
2021;Visitants;Fundació Suñol;4;Les Corts;20;la Maternitat i Sant Ramon;Centres patrimonials;Museus i col·leccions;Arts visuals;413826167;21262746
2021;Visites_Exposicions_Temporals;Fundació Suñol;4;Les Corts;20;la Maternitat i Sant Ramon;Centres patrimonials;Museus i col·leccions;Arts visuals;413826167;21262746
2021;Fons_Colleccio;Hash Marihuana Cáñamo & Hemp Museum;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41380783393;2180139311
2021;Num_Exposicions_Temporals;Hash Marihuana Cáñamo & Hemp Museum;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41380783393;2180139311
2021;Visitants;Hash Marihuana Cáñamo & Hemp Museum;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Història i memòria;41380783393;2180139311
2021;Num_Exposicions_Temporals;KBr Fundación MAPFRE;10;Sant Martí;67;la Vila Olímpica del Poblenou;Centres d'exposicions;Centres d'exposicions;Arts visuals;41388415;21960494
2021;Visitants;KBr Fundación MAPFRE;10;Sant Martí;67;la Vila Olímpica del Poblenou;Centres d'exposicions;Centres d'exposicions;Arts visuals;41388415;21960494
2021;Visites_Exposicions_Temporals;KBr Fundación MAPFRE;10;Sant Martí;67;la Vila Olímpica del Poblenou;Centres d'exposicions;Centres d'exposicions;Arts visuals;41388415;21960494
2021;Visitants;L'Aquàrium;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Ciència;41376477557;2184560919
2021;Num_Exposicions_Temporals;La Capella;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41381057326;2169793857
2021;Visitants;La Capella;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41381057326;2169793857
2021;Visites_Exposicions_Temporals;La Capella;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41381057326;2169793857
2021;Num_Exposicions_Temporals;La Model;2;Eixample;9;la Nova Esquerra de l'Eixample;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;;
2021;Visitants;La Model;2;Eixample;9;la Nova Esquerra de l'Eixample;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;;
2021;Visitants;La Pedrera;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Espais d'interès patrimonial;Arts visuals;41395316302;2162043384
2021;Num_Exposicions_Temporals;La Virreina Centre de la Imatge;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41382498322;2171708630
2021;Visitants;La Virreina Centre de la Imatge;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41382498322;2171708630
2021;Visites_Exposicions_Temporals;La Virreina Centre de la Imatge;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41382498322;2171708630
2021;Fons_Colleccio;Museu d'Arqueologia de Catalunya;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41370153865;2157646024
2021;Num_Exposicions_Temporals;Museu d'Arqueologia de Catalunya;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41370153865;2157646024
2021;Visitants;Museu d'Arqueologia de Catalunya;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41370153865;2157646024
2021;Visites_Exposicions_Temporals;Museu d'Arqueologia de Catalunya;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41370153865;2157646024
2021;Fons_Colleccio;Museu d'Art Contemporani de Barcelona. MACBA;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Arts visuals;41383145956;2167830774
2021;Num_Exposicions_Temporals;Museu d'Art Contemporani de Barcelona. MACBA;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Arts visuals;41383145956;2167830774
