Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,Num_Exposicions_Temporals,"El Born Centre de Cultura i Memòria",3,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2021,Visitants,"El Born Centre de Cultura i Memòria",403821,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2021,Visites_Exposicions_Temporals,"El Born Centre de Cultura i Memòria",40324,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2021,Visitants,"Espai Bombers Parc de la Prevenció",9419,,"L'Espai Bombers Parc de la Prevenció es va inaugurar l'11 de novembre de 2016",03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.373639,2.1543788
2021,Visitants,"Espais patrimonials del MUHBA",14474,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",,
2021,Num_Exposicions_Temporals,"Espais VolART i VolART2. Fundació Vila Casas",3,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2021,Visitants,"Espais VolART i VolART2. Fundació Vila Casas",12768,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2021,Visites_Exposicions_Temporals,"Espais VolART i VolART2. Fundació Vila Casas",12768,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2021,Num_Exposicions_Temporals,"Fabra i Coats - Centre d'Art Contemporani",8,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2021,Visitants,"Fabra i Coats - Centre d'Art Contemporani",11328,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2021,Visites_Exposicions_Temporals,"Fabra i Coats - Centre d'Art Contemporani",10218,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2021,Num_Exposicions_Temporals,"Fundació Antoni Tàpies",6,,,02,Eixample,07,"la Dreta de l'Eixample","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2021,Visitants,"Fundació Antoni Tàpies",19609,,,02,Eixample,07,"la Dreta de l'Eixample","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2021,Visites_Exposicions_Temporals,"Fundació Antoni Tàpies",55848,,,02,Eixample,07,"la Dreta de l'Eixample","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2021,Fons_Colleccio,"Fundació Foto Colectania",27979,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2021,Num_Exposicions_Temporals,"Fundació Foto Colectania",4,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2021,Visitants,"Fundació Foto Colectania",28832,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2021,Visites_Exposicions_Temporals,"Fundació Foto Colectania",28832,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2021,Visitants,"Fundació Fran Daurel",85961,,,03,Sants-Montjuïc,11,"el Poble Sec",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.369116603,2.146724957
2021,Fons_Colleccio,"Fundació Joan Miró",21323,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.36863,2.159851
2021,Num_Exposicions_Temporals,"Fundació Joan Miró",5,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.36863,2.159851
2021,Visitants,"Fundació Joan Miró",96025,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.36863,2.159851
2021,Visites_Exposicions_Temporals,"Fundació Joan Miró",90194,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.36863,2.159851
2021,Visitants,"Fundació Julio Muñoz Ramonet",45926,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",,
2021,Fons_Colleccio,"Fundació Suñol",1343,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2021,Num_Exposicions_Temporals,"Fundació Suñol",4,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2021,Visitants,"Fundació Suñol",3236,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2021,Visites_Exposicions_Temporals,"Fundació Suñol",3441,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2021,Fons_Colleccio,"Hash Marihuana Cáñamo & Hemp Museum",9000,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.380783393,2.180139311
2021,Num_Exposicions_Temporals,"Hash Marihuana Cáñamo & Hemp Museum",1,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.380783393,2.180139311
2021,Visitants,"Hash Marihuana Cáñamo & Hemp Museum",1667,,,01,"Ciutat Vella",02,"el Barri Gòtic",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.380783393,2.180139311
2021,Num_Exposicions_Temporals,"KBr Fundación MAPFRE",6,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.388415,2.1960494
