id;name;created;modified;core_type;core_type_name;district_id;district_name;neighborhood_id;neighborhood_name;addresses_road_name;addresses_start_street_number;addresses_end_street_number;addresses_town;geo_imi_x;geo_imi_y;values_value
﻿354143355;Casa Comalat;19.12.00 00:00;17.09.22 02:20;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Av Diagonal;442;;BARCELONA;2,9935E+16;8,3383E+15;-
﻿354143355;Casa Comalat;19.12.00 00:00;17.09.22 02:20;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Av Diagonal;442;;BARCELONA;2,9935E+16;8,3383E+15;-
﻿354143355;Casa Comalat;19.12.00 00:00;17.09.22 02:20;place;Equipament;2;Eixample;7;la Dreta de l'Eixample;Av Diagonal;442;;BARCELONA;2,9935E+16;8,3383E+15;-
﻿2114173213;Escola Superior de Disseny IED Barcelona;24.04.02 00:00;30.12.21 10:15;place;Equipament;6;Gràcia;31;la Vila de Gràcia;Carrer de Biada;11;11;Barcelona;2,94641E+16;8,43132E+15;932385889
﻿2114173213;Escola Superior de Disseny IED Barcelona;24.04.02 00:00;30.12.21 10:15;place;Equipament;6;Gràcia;31;la Vila de Gràcia;Carrer de Biada;11;11;Barcelona;2,94641E+16;8,43132E+15;932385889
﻿2114173213;Escola Superior de Disseny IED Barcelona;24.04.02 00:00;30.12.21 10:15;place;Equipament;6;Gràcia;31;la Vila de Gràcia;Carrer de Biada;11;11;Barcelona;2,94641E+16;8,43132E+15;932385889
﻿93188125133;Parc de la Trinitat;07.07.93 00:00;23.11.22 12:39;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Santa Coloma;60;;BARCELONA;3,2909E+16;8,91489E+15;010
﻿93188125133;Parc de la Trinitat;07.07.93 00:00;23.11.22 12:39;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Santa Coloma;60;;BARCELONA;3,2909E+16;8,91489E+15;010
﻿93188125133;Parc de la Trinitat;07.07.93 00:00;23.11.22 12:39;place;Equipament;9;Sant Andreu;60;Sant Andreu;Pg Santa Coloma;60;;BARCELONA;3,2909E+16;8,91489E+15;010
﻿92086030398;Platja de Sant Sebastià;30.06.89 00:00;02.08.22 08:54;place;Equipament;1;Ciutat Vella;3;la Barceloneta;Passeig Marítim de la Barceloneta;2;;Barcelona;3,23314E+15;8,07647E+15;
﻿92086030398;Platja de Sant Sebastià;30.06.89 00:00;02.08.22 08:54;place;Equipament;1;Ciutat Vella;3;la Barceloneta;Passeig Marítim de la Barceloneta;2;;Barcelona;3,23314E+15;8,07647E+15;
﻿92086030398;Platja de Sant Sebastià;30.06.89 00:00;02.08.22 08:54;place;Equipament;1;Ciutat Vella;3;la Barceloneta;Passeig Marítim de la Barceloneta;2;;Barcelona;3,23314E+15;8,07647E+15;
﻿92086030399;Platja de la Nova Icària;30.06.89 00:00;02.08.22 08:52;place;Equipament;10;Sant Martí;67;la Vila Olímpica del Poblenou;Pg Marítim de Nova Icària;60;;BARCELONA;3,34531E+16;8,26482E+15;611 532 778
﻿92086030399;Platja de la Nova Icària;30.06.89 00:00;02.08.22 08:52;place;Equipament;10;Sant Martí;67;la Vila Olímpica del Poblenou;Pg Marítim de Nova Icària;60;;BARCELONA;3,34531E+16;8,26482E+15;611 532 778
﻿92086030399;Platja de la Nova Icària;30.06.89 00:00;02.08.22 08:52;place;Equipament;10;Sant Martí;67;la Vila Olímpica del Poblenou;Pg Marítim de Nova Icària;60;;BARCELONA;3,34531E+16;8,26482E+15;611 532 778
﻿92168175397;Centre Esportiu Municipal Piscines Bernat Picornell;21.02.92 00:00;21.10.22 11:36;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;Av Estadi;30;;BARCELONA;2,90716E+15;7,99768E+15;934234041
﻿92168175397;Centre Esportiu Municipal Piscines Bernat Picornell;21.02.92 00:00;21.10.22 11:36;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;Av Estadi;30;;BARCELONA;2,90716E+15;7,99768E+15;934234041
﻿92168175397;Centre Esportiu Municipal Piscines Bernat Picornell;21.02.92 00:00;21.10.22 11:36;place;Equipament;3;Sants-Montjuïc;11;el Poble-sec;Av Estadi;30;;BARCELONA;2,90716E+15;7,99768E+15;934234041
﻿75990122832;Restaurant Casa Tejada;18.09.96 00:00;17.09.22 03:04;place;Equipament;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;C Tenor Viñas;3;;BARCELONA;2,83767E+15;8,31728E+15;937821236
﻿75990122832;Restaurant Casa Tejada;18.09.96 00:00;17.09.22 03:04;place;Equipament;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;C Tenor Viñas;3;;BARCELONA;2,83767E+15;8,31728E+15;937821236
﻿75990122832;Restaurant Casa Tejada;18.09.96 00:00;17.09.22 03:04;place;Equipament;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;C Tenor Viñas;3;;BARCELONA;2,83767E+15;8,31728E+15;937821236
﻿92086011004;"Casal Catòlic de Sant Andreu - Àntic Casino ""El Progrés""";19.02.85 00:00;17.09.22 04:15;place;Equipament;9;Sant Andreu;60;Sant Andreu;C Pons i Gallarza;58;;BARCELONA;3,21272E+16;8,76338E+15;933453001
﻿92086011004;"Casal Catòlic de Sant Andreu - Àntic Casino ""El Progrés""";19.02.85 00:00;17.09.22 04:15;place;Equipament;9;Sant Andreu;60;Sant Andreu;C Pons i Gallarza;58;;BARCELONA;3,21272E+16;8,76338E+15;933453001
