register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400643473;Jardins del Doctor Pla i Armengol;09.12.19 12:03;23.11.22 12:39;365702;Av Mare de Déu de Montserrat;132;;35;el Guinardó;7;Horta-Guinardó;8041;BARCELONA;4,30629E+15;4,58527E+15;4,1416E+15;2,16992E+16
﻿99400178859;Àrea Panoràmica (Camí del Cel);02.03.07 00:00;23.11.22 12:39;335701;Pl Tibidabo;3;;22;Vallvidrera, el Tibidabo i les Planes;5;Sarrià-Sant Gervasi;8035;BARCELONA;4,26447E+15;4,58596E+15;4,14218E+15;2,1198E+16
﻿99400646020;Espai Lúdic-Esportiu de la Campa;10.01.20 12:42;23.11.22 12:39;700825;C Granja Vella;7;;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28774E+16;4,58647E+14;4,14266E+15;2,14758E+15
﻿99400646020;Espai Lúdic-Esportiu de la Campa;10.01.20 12:42;23.11.22 12:39;700825;C Granja Vella;7;;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28774E+16;4,58647E+14;4,14266E+15;2,14758E+15
﻿99400646020;Espai Lúdic-Esportiu de la Campa;10.01.20 12:42;23.11.22 12:39;700825;C Granja Vella;7;;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28774E+16;4,58647E+14;4,14266E+15;2,14758E+15
﻿99400646020;Espai Lúdic-Esportiu de la Campa;10.01.20 12:42;23.11.22 12:39;700825;C Granja Vella;7;;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28774E+16;4,58647E+14;4,14266E+15;2,14758E+15
﻿99400297201;Jardins Interior d'Illa de Beatriu Pinós-Milany;11.07.12 10:24;23.11.22 12:39;289105;Carrer del Rosselló;149;153;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;Barcelona;4,29021E+13;4,58226E+15;4,13887E+15;2,15102E+15
﻿99400297201;Jardins Interior d'Illa de Beatriu Pinós-Milany;11.07.12 10:24;23.11.22 12:39;289105;Carrer del Rosselló;149;153;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;Barcelona;4,29021E+13;4,58226E+15;4,13887E+15;2,15102E+15
﻿99400240383;Jardins de Simone de Beauvoir;01.02.10 14:06;23.11.22 12:39;42306;C Bilbao;30;;68;el Poblenou;10;Sant Martí;8005;BARCELONA;4,33539E+15;4,58373E+15;4,14024E+15;2,2049E+15
﻿99400452657;Jardins del Camp de Sarrià;09.06.16 14:02;23.11.22 12:39;701443;Ptge Ricard Zamora;5;;24;les Tres Torres;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,27552E+16;4,58278E+15;4,13933E+15;2,13339E+16
