register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400550523;Teatre La Gleva;06.11.17 15:29;17.09.22 09:08;C Gleva;19;;27;el Putxet i el Farró;5;Sarrià-Sant Gervasi;8006;BARCELONA;4,2861E+15;4,58388E+15;4,14033E+15;2,14592E+16
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
﻿97239174457;Teatre Poliorama;27.08.97 00:00;22.11.22 10:34;la Rambla;115;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30664E+15;4,58174E+15;4,13842E+15;2,17074E+16
﻿99202125502;Sala Cafè Teatre;21.07.99 00:00;17.09.22 05:53;C Terol;26;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29668E+16;4,58387E+15;4,14033E+16;2,15858E+16
﻿99400355463;Teatre;10.10.14 00:00;17.09.22 08:08;Pl Nord;7;;31;la Vila de Gràcia;6;Gràcia;8024;BARCELONA;4,29421E+15;4,58432E+14;4,14073E+13;2,15557E+16
﻿92086009073;Gran Teatre del Liceu;26.04.88 00:00;28.07.22 13:57;C la Rambla;51;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30878E+16;4,58129E+16;4,13801E+15;2,17335E+16
﻿92086009073;Gran Teatre del Liceu;26.04.88 00:00;28.07.22 13:57;C la Rambla;51;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30878E+16;4,58129E+16;4,13801E+15;2,17335E+16
﻿92086009073;Gran Teatre del Liceu;26.04.88 00:00;28.07.22 13:57;C la Rambla;51;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;4,30878E+16;4,58129E+16;4,13801E+15;2,17335E+16
﻿92086001555;Auditòrium;23.04.86 00:00;17.09.22 03:48;Pg Lluís Companys;18;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8018;BARCELONA;4,31559E+15;4,58252E+15;4,13913E+15;2,18135E+14
﻿271101523;Auditori;27.09.00 00:00;17.09.22 02:19;Montalegre;5;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30336E+15;4,58171E+15;4,13839E+15;2,16681E+16
﻿96348200713;Teatre;13.12.96 00:00;17.09.22 05:27;Casp;25;;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,30725E+15;4,58239E+15;4,139E+15;2,17139E+16
﻿99400281031;Teatre;26.10.11 00:00;13.12.21 16:51;Carrer de Feliu i Codina;7;;43;Horta;7;Horta-Guinardó;8031;Barcelona;4,29842E+15;4,58709E+15;4,14323E+15;2,16028E+15
﻿99400390579;Teatre Sala Pangolí;02.07.15 13:32;07.03.22 14:17;C Bailèn;194;;32;el Camp d'en Grassot i Gràcia Nova;6;Gràcia;8037;BARCELONA;4,30179E+14;4,58367E+15;4,14016E+14;2,16471E+16
﻿1331135946;Sala Fabià Puigserver;27.11.01 00:00;17.09.22 02:33;Pg Santa Madrona;40;;11;el Poble-sec;3;Sants-Montjuïc;8038;BARCELONA;4,29523E+16;4,58023E+15;4,13705E+16;2,15727E+15
