year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Men;Alemanya;22
2022;3;Sants-Montjuïc;15;Hostafrancs;Men;Alemanya;41
2022;3;Sants-Montjuïc;16;la Bordeta;Men;Alemanya;24
2022;3;Sants-Montjuïc;17;Sants - Badal;Men;Alemanya;21
2022;3;Sants-Montjuïc;18;Sants;Men;Alemanya;80
2022;4;Les Corts;19;les Corts;Men;Alemanya;82
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Men;Alemanya;35
2022;4;Les Corts;21;Pedralbes;Men;Alemanya;42
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Men;Alemanya;33
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Men;Alemanya;77
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Men;Alemanya;40
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Men;Alemanya;51
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Men;Alemanya;150
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Men;Alemanya;79
2022;6;Gràcia;28;Vallcarca i els Penitents;Men;Alemanya;54
2022;6;Gràcia;29;el Coll;Men;Alemanya;24
2022;6;Gràcia;30;la Salut;Men;Alemanya;31
2022;6;Gràcia;31;la Vila de Gràcia;Men;Alemanya;283
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Men;Alemanya;97
2022;7;Horta-Guinardó;33;el Baix Guinardó;Men;Alemanya;33
2022;7;Horta-Guinardó;34;Can Baró;Men;Alemanya;12
2022;7;Horta-Guinardó;35;el Guinardó;Men;Alemanya;57
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Men;Alemanya;13
2022;7;Horta-Guinardó;37;el Carmel;Men;Alemanya;25
2022;7;Horta-Guinardó;38;la Teixonera;Men;Alemanya;11
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Men;Alemanya;13
2022;7;Horta-Guinardó;40;Montbau;Men;Alemanya;4
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Men;Alemanya;4
2022;7;Horta-Guinardó;42;la Clota;Men;Alemanya;2
2022;7;Horta-Guinardó;43;Horta;Men;Alemanya;20
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Men;Alemanya;19
2022;8;Nou Barris;45;Porta;Men;Alemanya;17
2022;8;Nou Barris;46;el Turó de la Peira;Men;Alemanya;3
2022;8;Nou Barris;47;Can Peguera;Men;Alemanya;2
2022;8;Nou Barris;48;la Guineueta;Men;Alemanya;2
2022;8;Nou Barris;49;Canyelles;Men;Alemanya;2
2022;8;Nou Barris;50;les Roquetes;Men;Alemanya;9
2022;8;Nou Barris;51;Verdun;Men;Alemanya;9
2022;8;Nou Barris;52;la Prosperitat;Men;Alemanya;8
2022;8;Nou Barris;53;la Trinitat Nova;Men;Alemanya;2
2022;8;Nou Barris;54;Torre Baró;Men;Alemanya;0
2022;8;Nou Barris;55;Ciutat Meridiana;Men;Alemanya;4
2022;8;Nou Barris;56;Vallbona;Men;Alemanya;0
2022;9;Sant Andreu;57;la Trinitat Vella;Men;Alemanya;3
2022;9;Sant Andreu;58;Baró de Viver;Men;Alemanya;0
2022;9;Sant Andreu;59;el Bon Pastor;Men;Alemanya;4
2022;9;Sant Andreu;60;Sant Andreu;Men;Alemanya;27
2022;9;Sant Andreu;61;la Sagrera;Men;Alemanya;29
2022;9;Sant Andreu;62;el Congrés i els Indians;Men;Alemanya;16
2022;9;Sant Andreu;63;Navas;Men;Alemanya;25
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Men;Alemanya;83
2022;10;Sant Martí;65;el Clot;Men;Alemanya;42
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Men;Alemanya;68
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Men;Alemanya;64
2022;10;Sant Martí;68;el Poblenou;Men;Alemanya;158
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Men;Alemanya;66
2022;10;Sant Martí;70;el Besòs i el Maresme;Men;Alemanya;21
2022;10;Sant Martí;71;Provençals del Poblenou;Men;Alemanya;52
2022;10;Sant Martí;72;Sant Martí de Provençals;Men;Alemanya;15
2022;10;Sant Martí;73;la Verneda i la Pau;Men;Alemanya;9
2022;1;Ciutat Vella;1;el Raval;Women;Algèria;38
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Algèria;25
2022;1;Ciutat Vella;3;la Barceloneta;Women;Algèria;7
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Algèria;35
2022;2;Eixample;5;el Fort Pienc;Women;Algèria;17
2022;2;Eixample;6;la Sagrada Família;Women;Algèria;12
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Algèria;12
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Algèria;12
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Algèria;25
2022;2;Eixample;10;Sant Antoni;Women;Algèria;9
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Algèria;31
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Algèria;2
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Algèria;13
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Algèria;4
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Algèria;11
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Algèria;3
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Algèria;9
